#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
      fishman2x|  6.20e+07  |2850603825|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.58463231|  PASSED  
          sts_serial|   2|    100000|     100|0.77873527|  PASSED  
          sts_serial|   3|    100000|     100|0.85911638|  PASSED  
          sts_serial|   3|    100000|     100|0.97768342|  PASSED  
          sts_serial|   4|    100000|     100|0.98171651|  PASSED  
          sts_serial|   4|    100000|     100|0.32616805|  PASSED  
          sts_serial|   5|    100000|     100|0.08973080|  PASSED  
          sts_serial|   5|    100000|     100|0.17004519|  PASSED  
          sts_serial|   6|    100000|     100|0.59915522|  PASSED  
          sts_serial|   6|    100000|     100|0.89351450|  PASSED  
          sts_serial|   7|    100000|     100|0.37360570|  PASSED  
          sts_serial|   7|    100000|     100|0.46398299|  PASSED  
          sts_serial|   8|    100000|     100|0.23077964|  PASSED  
          sts_serial|   8|    100000|     100|0.97293374|  PASSED  
          sts_serial|   9|    100000|     100|0.52742924|  PASSED  
          sts_serial|   9|    100000|     100|0.26834490|  PASSED  
          sts_serial|  10|    100000|     100|0.89184450|  PASSED  
          sts_serial|  10|    100000|     100|0.96183134|  PASSED  
          sts_serial|  11|    100000|     100|0.87868551|  PASSED  
          sts_serial|  11|    100000|     100|0.70727143|  PASSED  
          sts_serial|  12|    100000|     100|0.73675232|  PASSED  
          sts_serial|  12|    100000|     100|0.73827790|  PASSED  
          sts_serial|  13|    100000|     100|0.78932585|  PASSED  
          sts_serial|  13|    100000|     100|0.36565503|  PASSED  
          sts_serial|  14|    100000|     100|0.31161197|  PASSED  
          sts_serial|  14|    100000|     100|0.78205059|  PASSED  
          sts_serial|  15|    100000|     100|0.95847849|  PASSED  
          sts_serial|  15|    100000|     100|0.78108564|  PASSED  
          sts_serial|  16|    100000|     100|0.92802747|  PASSED  
          sts_serial|  16|    100000|     100|0.46688566|  PASSED  
