#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
      knuthran2|  1.76e+07  |1393793553|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.22158882|  PASSED  
          sts_serial|   2|    100000|     100|0.91667878|  PASSED  
          sts_serial|   3|    100000|     100|0.94092262|  PASSED  
          sts_serial|   3|    100000|     100|0.68564412|  PASSED  
          sts_serial|   4|    100000|     100|0.90695605|  PASSED  
          sts_serial|   4|    100000|     100|0.99196981|  PASSED  
          sts_serial|   5|    100000|     100|0.90410465|  PASSED  
          sts_serial|   5|    100000|     100|0.78128332|  PASSED  
          sts_serial|   6|    100000|     100|0.12210521|  PASSED  
          sts_serial|   6|    100000|     100|0.12890283|  PASSED  
          sts_serial|   7|    100000|     100|0.14653280|  PASSED  
          sts_serial|   7|    100000|     100|0.70666426|  PASSED  
          sts_serial|   8|    100000|     100|0.77081613|  PASSED  
          sts_serial|   8|    100000|     100|0.28263619|  PASSED  
          sts_serial|   9|    100000|     100|0.49431877|  PASSED  
          sts_serial|   9|    100000|     100|0.89116481|  PASSED  
          sts_serial|  10|    100000|     100|0.43477959|  PASSED  
          sts_serial|  10|    100000|     100|0.30532772|  PASSED  
          sts_serial|  11|    100000|     100|0.58759994|  PASSED  
          sts_serial|  11|    100000|     100|0.97586406|  PASSED  
          sts_serial|  12|    100000|     100|0.23945412|  PASSED  
          sts_serial|  12|    100000|     100|0.89083769|  PASSED  
          sts_serial|  13|    100000|     100|0.06911942|  PASSED  
          sts_serial|  13|    100000|     100|0.50072831|  PASSED  
          sts_serial|  14|    100000|     100|0.10600035|  PASSED  
          sts_serial|  14|    100000|     100|0.29471679|  PASSED  
          sts_serial|  15|    100000|     100|0.29353436|  PASSED  
          sts_serial|  15|    100000|     100|0.99237961|  PASSED  
          sts_serial|  16|    100000|     100|0.45609400|  PASSED  
          sts_serial|  16|    100000|     100|0.91541501|  PASSED  
