#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
        mt19937|  6.56e+07  |2688151373|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.61040082|  PASSED  
          sts_serial|   2|    100000|     100|0.12824233|  PASSED  
          sts_serial|   3|    100000|     100|0.43013023|  PASSED  
          sts_serial|   3|    100000|     100|0.84284265|  PASSED  
          sts_serial|   4|    100000|     100|0.45598450|  PASSED  
          sts_serial|   4|    100000|     100|0.77641558|  PASSED  
          sts_serial|   5|    100000|     100|0.14533708|  PASSED  
          sts_serial|   5|    100000|     100|0.21529535|  PASSED  
          sts_serial|   6|    100000|     100|0.96548640|  PASSED  
          sts_serial|   6|    100000|     100|0.84370673|  PASSED  
          sts_serial|   7|    100000|     100|0.51283993|  PASSED  
          sts_serial|   7|    100000|     100|0.42692989|  PASSED  
          sts_serial|   8|    100000|     100|0.47732232|  PASSED  
          sts_serial|   8|    100000|     100|0.96931817|  PASSED  
          sts_serial|   9|    100000|     100|0.94632027|  PASSED  
          sts_serial|   9|    100000|     100|0.62949190|  PASSED  
          sts_serial|  10|    100000|     100|0.77927429|  PASSED  
          sts_serial|  10|    100000|     100|0.98158628|  PASSED  
          sts_serial|  11|    100000|     100|0.70748433|  PASSED  
          sts_serial|  11|    100000|     100|0.19566685|  PASSED  
          sts_serial|  12|    100000|     100|0.81625523|  PASSED  
          sts_serial|  12|    100000|     100|0.92893609|  PASSED  
          sts_serial|  13|    100000|     100|0.30557434|  PASSED  
          sts_serial|  13|    100000|     100|0.12556351|  PASSED  
          sts_serial|  14|    100000|     100|0.24292301|  PASSED  
          sts_serial|  14|    100000|     100|0.52779935|  PASSED  
          sts_serial|  15|    100000|     100|0.31591293|  PASSED  
          sts_serial|  15|    100000|     100|0.45268059|  PASSED  
          sts_serial|  16|    100000|     100|0.74615356|  PASSED  
          sts_serial|  16|    100000|     100|0.85040643|  PASSED  
