#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
   mt19937_1998|  9.55e+07  | 954809484|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.58120308|  PASSED  
          sts_serial|   2|    100000|     100|0.93428299|  PASSED  
          sts_serial|   3|    100000|     100|0.81425136|  PASSED  
          sts_serial|   3|    100000|     100|0.94944474|  PASSED  
          sts_serial|   4|    100000|     100|0.17496280|  PASSED  
          sts_serial|   4|    100000|     100|0.75946333|  PASSED  
          sts_serial|   5|    100000|     100|0.17815473|  PASSED  
          sts_serial|   5|    100000|     100|0.00071542|   WEAK   
          sts_serial|   6|    100000|     100|0.94310719|  PASSED  
          sts_serial|   6|    100000|     100|0.69272484|  PASSED  
          sts_serial|   7|    100000|     100|0.96839601|  PASSED  
          sts_serial|   7|    100000|     100|0.72406291|  PASSED  
          sts_serial|   8|    100000|     100|0.30251960|  PASSED  
          sts_serial|   8|    100000|     100|0.19945413|  PASSED  
          sts_serial|   9|    100000|     100|0.97247991|  PASSED  
          sts_serial|   9|    100000|     100|0.55942549|  PASSED  
          sts_serial|  10|    100000|     100|0.76909176|  PASSED  
          sts_serial|  10|    100000|     100|0.87551734|  PASSED  
          sts_serial|  11|    100000|     100|0.54005370|  PASSED  
          sts_serial|  11|    100000|     100|0.19515956|  PASSED  
          sts_serial|  12|    100000|     100|0.83178499|  PASSED  
          sts_serial|  12|    100000|     100|0.34689201|  PASSED  
          sts_serial|  13|    100000|     100|0.84877507|  PASSED  
          sts_serial|  13|    100000|     100|0.57990442|  PASSED  
          sts_serial|  14|    100000|     100|0.82407074|  PASSED  
          sts_serial|  14|    100000|     100|0.46556636|  PASSED  
          sts_serial|  15|    100000|     100|0.90604462|  PASSED  
          sts_serial|  15|    100000|     100|0.47285815|  PASSED  
          sts_serial|  16|    100000|     100|0.22924686|  PASSED  
          sts_serial|  16|    100000|     100|0.72134282|  PASSED  
