#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
  random128-bsd|  1.53e+08  |3786993873|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.28019242|  PASSED  
          sts_serial|   2|    100000|     100|0.68228573|  PASSED  
          sts_serial|   3|    100000|     100|0.97350286|  PASSED  
          sts_serial|   3|    100000|     100|0.63003505|  PASSED  
          sts_serial|   4|    100000|     100|0.97622372|  PASSED  
          sts_serial|   4|    100000|     100|0.82544441|  PASSED  
          sts_serial|   5|    100000|     100|0.90686663|  PASSED  
          sts_serial|   5|    100000|     100|0.37649919|  PASSED  
          sts_serial|   6|    100000|     100|0.46289842|  PASSED  
          sts_serial|   6|    100000|     100|0.76248432|  PASSED  
          sts_serial|   7|    100000|     100|0.97094456|  PASSED  
          sts_serial|   7|    100000|     100|0.92373453|  PASSED  
          sts_serial|   8|    100000|     100|0.38854623|  PASSED  
          sts_serial|   8|    100000|     100|0.68730641|  PASSED  
          sts_serial|   9|    100000|     100|0.09407272|  PASSED  
          sts_serial|   9|    100000|     100|0.32377512|  PASSED  
          sts_serial|  10|    100000|     100|0.51761753|  PASSED  
          sts_serial|  10|    100000|     100|0.95405320|  PASSED  
          sts_serial|  11|    100000|     100|0.42986211|  PASSED  
          sts_serial|  11|    100000|     100|0.57103295|  PASSED  
          sts_serial|  12|    100000|     100|0.22474566|  PASSED  
          sts_serial|  12|    100000|     100|0.22006724|  PASSED  
          sts_serial|  13|    100000|     100|0.40788294|  PASSED  
          sts_serial|  13|    100000|     100|0.59810582|  PASSED  
          sts_serial|  14|    100000|     100|0.81552480|  PASSED  
          sts_serial|  14|    100000|     100|0.89649870|  PASSED  
          sts_serial|  15|    100000|     100|0.14621186|  PASSED  
          sts_serial|  15|    100000|     100|0.18698938|  PASSED  
          sts_serial|  16|    100000|     100|0.80700566|  PASSED  
          sts_serial|  16|    100000|     100|0.29706584|  PASSED  
