#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
  random128-bsd|  1.33e+08  | 385734426|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.34236103|  PASSED  
          sts_serial|   2|    100000|     100|0.00855916|  PASSED  
          sts_serial|   3|    100000|     100|0.89083188|  PASSED  
          sts_serial|   3|    100000|     100|0.49373058|  PASSED  
          sts_serial|   4|    100000|     100|0.96138441|  PASSED  
          sts_serial|   4|    100000|     100|0.46893860|  PASSED  
          sts_serial|   5|    100000|     100|0.74401481|  PASSED  
          sts_serial|   5|    100000|     100|0.98680311|  PASSED  
          sts_serial|   6|    100000|     100|0.44729634|  PASSED  
          sts_serial|   6|    100000|     100|0.34599740|  PASSED  
          sts_serial|   7|    100000|     100|0.70259684|  PASSED  
          sts_serial|   7|    100000|     100|0.84553207|  PASSED  
          sts_serial|   8|    100000|     100|0.86206832|  PASSED  
          sts_serial|   8|    100000|     100|0.64088992|  PASSED  
          sts_serial|   9|    100000|     100|0.84323984|  PASSED  
          sts_serial|   9|    100000|     100|0.40797190|  PASSED  
          sts_serial|  10|    100000|     100|0.71473406|  PASSED  
          sts_serial|  10|    100000|     100|0.31221055|  PASSED  
          sts_serial|  11|    100000|     100|0.89569817|  PASSED  
          sts_serial|  11|    100000|     100|0.89752471|  PASSED  
          sts_serial|  12|    100000|     100|0.93773723|  PASSED  
          sts_serial|  12|    100000|     100|0.94414075|  PASSED  
          sts_serial|  13|    100000|     100|0.35692765|  PASSED  
          sts_serial|  13|    100000|     100|0.44190955|  PASSED  
          sts_serial|  14|    100000|     100|0.85406707|  PASSED  
          sts_serial|  14|    100000|     100|0.21486530|  PASSED  
          sts_serial|  15|    100000|     100|0.37125388|  PASSED  
          sts_serial|  15|    100000|     100|0.63448747|  PASSED  
          sts_serial|  16|    100000|     100|0.14923973|  PASSED  
          sts_serial|  16|    100000|     100|0.48605257|  PASSED  
