#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
   random-libc5|  1.60e+08  |  50346081|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.84587587|  PASSED  
          sts_serial|   2|    100000|     100|0.63201906|  PASSED  
          sts_serial|   3|    100000|     100|0.67757563|  PASSED  
          sts_serial|   3|    100000|     100|0.75777593|  PASSED  
          sts_serial|   4|    100000|     100|0.18539199|  PASSED  
          sts_serial|   4|    100000|     100|0.27193565|  PASSED  
          sts_serial|   5|    100000|     100|0.15484823|  PASSED  
          sts_serial|   5|    100000|     100|0.75932665|  PASSED  
          sts_serial|   6|    100000|     100|0.11442434|  PASSED  
          sts_serial|   6|    100000|     100|0.15584340|  PASSED  
          sts_serial|   7|    100000|     100|0.56023457|  PASSED  
          sts_serial|   7|    100000|     100|0.90163028|  PASSED  
          sts_serial|   8|    100000|     100|0.98734759|  PASSED  
          sts_serial|   8|    100000|     100|0.60648241|  PASSED  
          sts_serial|   9|    100000|     100|0.93545773|  PASSED  
          sts_serial|   9|    100000|     100|0.17781876|  PASSED  
          sts_serial|  10|    100000|     100|0.56398382|  PASSED  
          sts_serial|  10|    100000|     100|0.89395334|  PASSED  
          sts_serial|  11|    100000|     100|0.77459623|  PASSED  
          sts_serial|  11|    100000|     100|0.84588871|  PASSED  
          sts_serial|  12|    100000|     100|0.26522675|  PASSED  
          sts_serial|  12|    100000|     100|0.07660326|  PASSED  
          sts_serial|  13|    100000|     100|0.67437705|  PASSED  
          sts_serial|  13|    100000|     100|0.04692474|  PASSED  
          sts_serial|  14|    100000|     100|0.38439515|  PASSED  
          sts_serial|  14|    100000|     100|0.16184427|  PASSED  
          sts_serial|  15|    100000|     100|0.31377396|  PASSED  
          sts_serial|  15|    100000|     100|0.27094510|  PASSED  
          sts_serial|  16|    100000|     100|0.22172143|  PASSED  
          sts_serial|  16|    100000|     100|0.99914186|   WEAK   
