#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
           ranf|  1.38e+08  |1369652099|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.05209908|  PASSED  
          sts_serial|   2|    100000|     100|0.79024129|  PASSED  
          sts_serial|   3|    100000|     100|0.91712289|  PASSED  
          sts_serial|   3|    100000|     100|0.90561827|  PASSED  
          sts_serial|   4|    100000|     100|0.49268268|  PASSED  
          sts_serial|   4|    100000|     100|0.88340874|  PASSED  
          sts_serial|   5|    100000|     100|0.64667286|  PASSED  
          sts_serial|   5|    100000|     100|0.87696268|  PASSED  
          sts_serial|   6|    100000|     100|0.32161492|  PASSED  
          sts_serial|   6|    100000|     100|0.54780797|  PASSED  
          sts_serial|   7|    100000|     100|0.99450706|  PASSED  
          sts_serial|   7|    100000|     100|0.99350055|  PASSED  
          sts_serial|   8|    100000|     100|0.66563176|  PASSED  
          sts_serial|   8|    100000|     100|0.47431769|  PASSED  
          sts_serial|   9|    100000|     100|0.62230051|  PASSED  
          sts_serial|   9|    100000|     100|0.82058246|  PASSED  
          sts_serial|  10|    100000|     100|0.54588889|  PASSED  
          sts_serial|  10|    100000|     100|0.21941931|  PASSED  
          sts_serial|  11|    100000|     100|0.95217927|  PASSED  
          sts_serial|  11|    100000|     100|0.89503562|  PASSED  
          sts_serial|  12|    100000|     100|0.93531048|  PASSED  
          sts_serial|  12|    100000|     100|0.70293750|  PASSED  
          sts_serial|  13|    100000|     100|0.39696540|  PASSED  
          sts_serial|  13|    100000|     100|0.89376566|  PASSED  
          sts_serial|  14|    100000|     100|0.36880727|  PASSED  
          sts_serial|  14|    100000|     100|0.14534570|  PASSED  
          sts_serial|  15|    100000|     100|0.33535694|  PASSED  
          sts_serial|  15|    100000|     100|0.99265438|  PASSED  
          sts_serial|  16|    100000|     100|0.06485685|  PASSED  
          sts_serial|  16|    100000|     100|0.46640899|  PASSED  
