#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         ranlux|  9.69e+06  | 164463266|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.51826223|  PASSED  
          sts_serial|   2|    100000|     100|0.51495635|  PASSED  
          sts_serial|   3|    100000|     100|0.90546040|  PASSED  
          sts_serial|   3|    100000|     100|0.24908031|  PASSED  
          sts_serial|   4|    100000|     100|0.80454489|  PASSED  
          sts_serial|   4|    100000|     100|0.99913976|   WEAK   
          sts_serial|   5|    100000|     100|0.97419760|  PASSED  
          sts_serial|   5|    100000|     100|0.86510595|  PASSED  
          sts_serial|   6|    100000|     100|0.97985549|  PASSED  
          sts_serial|   6|    100000|     100|0.89398131|  PASSED  
          sts_serial|   7|    100000|     100|0.42864186|  PASSED  
          sts_serial|   7|    100000|     100|0.71342233|  PASSED  
          sts_serial|   8|    100000|     100|0.66537957|  PASSED  
          sts_serial|   8|    100000|     100|0.43290768|  PASSED  
          sts_serial|   9|    100000|     100|0.48379757|  PASSED  
          sts_serial|   9|    100000|     100|0.08232028|  PASSED  
          sts_serial|  10|    100000|     100|0.50514158|  PASSED  
          sts_serial|  10|    100000|     100|0.69253164|  PASSED  
          sts_serial|  11|    100000|     100|0.79010010|  PASSED  
          sts_serial|  11|    100000|     100|0.91347763|  PASSED  
          sts_serial|  12|    100000|     100|0.50747760|  PASSED  
          sts_serial|  12|    100000|     100|0.34716260|  PASSED  
          sts_serial|  13|    100000|     100|0.97278926|  PASSED  
          sts_serial|  13|    100000|     100|0.79906884|  PASSED  
          sts_serial|  14|    100000|     100|0.70991361|  PASSED  
          sts_serial|  14|    100000|     100|0.10346121|  PASSED  
          sts_serial|  15|    100000|     100|0.16193431|  PASSED  
          sts_serial|  15|    100000|     100|0.91906180|  PASSED  
          sts_serial|  16|    100000|     100|0.14377588|  PASSED  
          sts_serial|  16|    100000|     100|0.12409403|  PASSED  
