#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
        ranlxs1|  1.31e+07  |1596805464|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.25418493|  PASSED  
          sts_serial|   2|    100000|     100|0.35120756|  PASSED  
          sts_serial|   3|    100000|     100|0.46358259|  PASSED  
          sts_serial|   3|    100000|     100|0.74451429|  PASSED  
          sts_serial|   4|    100000|     100|0.51940023|  PASSED  
          sts_serial|   4|    100000|     100|0.43935622|  PASSED  
          sts_serial|   5|    100000|     100|0.79628045|  PASSED  
          sts_serial|   5|    100000|     100|0.45540065|  PASSED  
          sts_serial|   6|    100000|     100|0.78968265|  PASSED  
          sts_serial|   6|    100000|     100|0.85815825|  PASSED  
          sts_serial|   7|    100000|     100|0.92267549|  PASSED  
          sts_serial|   7|    100000|     100|0.83673627|  PASSED  
          sts_serial|   8|    100000|     100|0.75833885|  PASSED  
          sts_serial|   8|    100000|     100|0.76389800|  PASSED  
          sts_serial|   9|    100000|     100|0.47131577|  PASSED  
          sts_serial|   9|    100000|     100|0.64801097|  PASSED  
          sts_serial|  10|    100000|     100|0.22345084|  PASSED  
          sts_serial|  10|    100000|     100|0.33911330|  PASSED  
          sts_serial|  11|    100000|     100|0.07818727|  PASSED  
          sts_serial|  11|    100000|     100|0.45420231|  PASSED  
          sts_serial|  12|    100000|     100|0.91474236|  PASSED  
          sts_serial|  12|    100000|     100|0.95407231|  PASSED  
          sts_serial|  13|    100000|     100|0.68492463|  PASSED  
          sts_serial|  13|    100000|     100|0.90935334|  PASSED  
          sts_serial|  14|    100000|     100|0.69571056|  PASSED  
          sts_serial|  14|    100000|     100|0.97220803|  PASSED  
          sts_serial|  15|    100000|     100|0.02965189|  PASSED  
          sts_serial|  15|    100000|     100|0.09160341|  PASSED  
          sts_serial|  16|    100000|     100|0.92501444|  PASSED  
          sts_serial|  16|    100000|     100|0.00958840|  PASSED  
