#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
          tt800|  1.07e+08  |3076338769|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.51653806|  PASSED  
          sts_serial|   2|    100000|     100|0.31197043|  PASSED  
          sts_serial|   3|    100000|     100|0.88526384|  PASSED  
          sts_serial|   3|    100000|     100|0.35289728|  PASSED  
          sts_serial|   4|    100000|     100|0.28367879|  PASSED  
          sts_serial|   4|    100000|     100|0.19028040|  PASSED  
          sts_serial|   5|    100000|     100|0.90664714|  PASSED  
          sts_serial|   5|    100000|     100|0.84926084|  PASSED  
          sts_serial|   6|    100000|     100|0.32168458|  PASSED  
          sts_serial|   6|    100000|     100|0.58337274|  PASSED  
          sts_serial|   7|    100000|     100|0.27146406|  PASSED  
          sts_serial|   7|    100000|     100|0.66504676|  PASSED  
          sts_serial|   8|    100000|     100|0.91442750|  PASSED  
          sts_serial|   8|    100000|     100|0.56000955|  PASSED  
          sts_serial|   9|    100000|     100|0.56478738|  PASSED  
          sts_serial|   9|    100000|     100|0.69930800|  PASSED  
          sts_serial|  10|    100000|     100|0.93360984|  PASSED  
          sts_serial|  10|    100000|     100|0.79921157|  PASSED  
          sts_serial|  11|    100000|     100|0.56119825|  PASSED  
          sts_serial|  11|    100000|     100|0.63776730|  PASSED  
          sts_serial|  12|    100000|     100|0.99046986|  PASSED  
          sts_serial|  12|    100000|     100|0.83853891|  PASSED  
          sts_serial|  13|    100000|     100|0.90823272|  PASSED  
          sts_serial|  13|    100000|     100|0.63461484|  PASSED  
          sts_serial|  14|    100000|     100|0.48514900|  PASSED  
          sts_serial|  14|    100000|     100|0.91506148|  PASSED  
          sts_serial|  15|    100000|     100|0.59450523|  PASSED  
          sts_serial|  15|    100000|     100|0.04902627|  PASSED  
          sts_serial|  16|    100000|     100|0.93449509|  PASSED  
          sts_serial|  16|    100000|     100|0.05141502|  PASSED  
