#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
          uni32|  9.04e+07  | 157060806|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.88834689|  PASSED  
          sts_serial|   2|    100000|     100|0.70807274|  PASSED  
          sts_serial|   3|    100000|     100|0.80466736|  PASSED  
          sts_serial|   3|    100000|     100|0.92404215|  PASSED  
          sts_serial|   4|    100000|     100|0.94805458|  PASSED  
          sts_serial|   4|    100000|     100|0.38126939|  PASSED  
          sts_serial|   5|    100000|     100|0.88805880|  PASSED  
          sts_serial|   5|    100000|     100|0.60822314|  PASSED  
          sts_serial|   6|    100000|     100|0.32797734|  PASSED  
          sts_serial|   6|    100000|     100|0.32639730|  PASSED  
          sts_serial|   7|    100000|     100|0.01538372|  PASSED  
          sts_serial|   7|    100000|     100|0.08871120|  PASSED  
          sts_serial|   8|    100000|     100|0.19857567|  PASSED  
          sts_serial|   8|    100000|     100|0.14806283|  PASSED  
          sts_serial|   9|    100000|     100|0.19091810|  PASSED  
          sts_serial|   9|    100000|     100|0.87495960|  PASSED  
          sts_serial|  10|    100000|     100|0.30664982|  PASSED  
          sts_serial|  10|    100000|     100|0.79741754|  PASSED  
          sts_serial|  11|    100000|     100|0.97579834|  PASSED  
          sts_serial|  11|    100000|     100|0.78361682|  PASSED  
          sts_serial|  12|    100000|     100|0.66005051|  PASSED  
          sts_serial|  12|    100000|     100|0.66674087|  PASSED  
          sts_serial|  13|    100000|     100|0.40638534|  PASSED  
          sts_serial|  13|    100000|     100|0.86788601|  PASSED  
          sts_serial|  14|    100000|     100|0.69675751|  PASSED  
          sts_serial|  14|    100000|     100|0.84421395|  PASSED  
          sts_serial|  15|    100000|     100|0.07200400|  PASSED  
          sts_serial|  15|    100000|     100|0.57660450|  PASSED  
          sts_serial|  16|    100000|     100|0.56614739|  PASSED  
          sts_serial|  16|    100000|     100|0.93403737|  PASSED  
