#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
            zuf|  6.94e+07  | 257798934|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.15199336|  PASSED  
          sts_serial|   2|    100000|     100|0.02521629|  PASSED  
          sts_serial|   3|    100000|     100|0.31552182|  PASSED  
          sts_serial|   3|    100000|     100|0.38795896|  PASSED  
          sts_serial|   4|    100000|     100|0.88709199|  PASSED  
          sts_serial|   4|    100000|     100|0.25086865|  PASSED  
          sts_serial|   5|    100000|     100|0.43563754|  PASSED  
          sts_serial|   5|    100000|     100|0.76063093|  PASSED  
          sts_serial|   6|    100000|     100|0.94062909|  PASSED  
          sts_serial|   6|    100000|     100|0.42129430|  PASSED  
          sts_serial|   7|    100000|     100|0.97904842|  PASSED  
          sts_serial|   7|    100000|     100|0.44657589|  PASSED  
          sts_serial|   8|    100000|     100|0.94290962|  PASSED  
          sts_serial|   8|    100000|     100|0.49828725|  PASSED  
          sts_serial|   9|    100000|     100|0.62494140|  PASSED  
          sts_serial|   9|    100000|     100|0.74798366|  PASSED  
          sts_serial|  10|    100000|     100|0.58772211|  PASSED  
          sts_serial|  10|    100000|     100|0.33945799|  PASSED  
          sts_serial|  11|    100000|     100|0.96496378|  PASSED  
          sts_serial|  11|    100000|     100|0.75007047|  PASSED  
          sts_serial|  12|    100000|     100|0.86996736|  PASSED  
          sts_serial|  12|    100000|     100|0.91220594|  PASSED  
          sts_serial|  13|    100000|     100|0.46429186|  PASSED  
          sts_serial|  13|    100000|     100|0.38752484|  PASSED  
          sts_serial|  14|    100000|     100|0.61793701|  PASSED  
          sts_serial|  14|    100000|     100|0.73335686|  PASSED  
          sts_serial|  15|    100000|     100|0.55094928|  PASSED  
          sts_serial|  15|    100000|     100|0.12739077|  PASSED  
          sts_serial|  16|    100000|     100|0.38455770|  PASSED  
          sts_serial|  16|    100000|     100|0.57447076|  PASSED  
