#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
             ca|  8.57e+07  |2337954603|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.69240696|  PASSED  
          sts_serial|   2|    100000|     100|0.30069965|  PASSED  
          sts_serial|   3|    100000|     100|0.25595165|  PASSED  
          sts_serial|   3|    100000|     100|0.50959305|  PASSED  
          sts_serial|   4|    100000|     100|0.41099796|  PASSED  
          sts_serial|   4|    100000|     100|0.78363058|  PASSED  
          sts_serial|   5|    100000|     100|0.09511699|  PASSED  
          sts_serial|   5|    100000|     100|0.30821623|  PASSED  
          sts_serial|   6|    100000|     100|0.35003373|  PASSED  
          sts_serial|   6|    100000|     100|0.72067812|  PASSED  
          sts_serial|   7|    100000|     100|0.35325218|  PASSED  
          sts_serial|   7|    100000|     100|0.84484461|  PASSED  
          sts_serial|   8|    100000|     100|0.18471141|  PASSED  
          sts_serial|   8|    100000|     100|0.69410626|  PASSED  
          sts_serial|   9|    100000|     100|0.09003120|  PASSED  
          sts_serial|   9|    100000|     100|0.49529755|  PASSED  
          sts_serial|  10|    100000|     100|0.49566171|  PASSED  
          sts_serial|  10|    100000|     100|0.40775404|  PASSED  
          sts_serial|  11|    100000|     100|0.89952305|  PASSED  
          sts_serial|  11|    100000|     100|0.82620003|  PASSED  
          sts_serial|  12|    100000|     100|0.94975923|  PASSED  
          sts_serial|  12|    100000|     100|0.07344411|  PASSED  
          sts_serial|  13|    100000|     100|0.86363487|  PASSED  
          sts_serial|  13|    100000|     100|0.91089594|  PASSED  
          sts_serial|  14|    100000|     100|0.48828312|  PASSED  
          sts_serial|  14|    100000|     100|0.20719171|  PASSED  
          sts_serial|  15|    100000|     100|0.54414853|  PASSED  
          sts_serial|  15|    100000|     100|0.75513644|  PASSED  
          sts_serial|  16|    100000|     100|0.94814249|  PASSED  
          sts_serial|  16|    100000|     100|0.10094391|  PASSED  
