#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
           uvag|  8.94e+07  |1793071846|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.15443322|  PASSED  
          sts_serial|   2|    100000|     100|0.11182442|  PASSED  
          sts_serial|   3|    100000|     100|0.72125227|  PASSED  
          sts_serial|   3|    100000|     100|0.47938095|  PASSED  
          sts_serial|   4|    100000|     100|0.37714156|  PASSED  
          sts_serial|   4|    100000|     100|0.69228209|  PASSED  
          sts_serial|   5|    100000|     100|0.66983055|  PASSED  
          sts_serial|   5|    100000|     100|0.71140476|  PASSED  
          sts_serial|   6|    100000|     100|0.67199886|  PASSED  
          sts_serial|   6|    100000|     100|0.86936045|  PASSED  
          sts_serial|   7|    100000|     100|0.89211057|  PASSED  
          sts_serial|   7|    100000|     100|0.43664441|  PASSED  
          sts_serial|   8|    100000|     100|0.28134863|  PASSED  
          sts_serial|   8|    100000|     100|0.39238819|  PASSED  
          sts_serial|   9|    100000|     100|0.29272276|  PASSED  
          sts_serial|   9|    100000|     100|0.17018718|  PASSED  
          sts_serial|  10|    100000|     100|0.99887158|   WEAK   
          sts_serial|  10|    100000|     100|0.66351077|  PASSED  
          sts_serial|  11|    100000|     100|0.33046339|  PASSED  
          sts_serial|  11|    100000|     100|0.12392475|  PASSED  
          sts_serial|  12|    100000|     100|0.54039918|  PASSED  
          sts_serial|  12|    100000|     100|0.63229781|  PASSED  
          sts_serial|  13|    100000|     100|0.45161366|  PASSED  
          sts_serial|  13|    100000|     100|0.84371416|  PASSED  
          sts_serial|  14|    100000|     100|0.81590387|  PASSED  
          sts_serial|  14|    100000|     100|0.85761694|  PASSED  
          sts_serial|  15|    100000|     100|0.52001633|  PASSED  
          sts_serial|  15|    100000|     100|0.48360607|  PASSED  
          sts_serial|  16|    100000|     100|0.99419079|  PASSED  
          sts_serial|  16|    100000|     100|0.70757231|  PASSED  
