#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
        AES_OFB|  3.08e+07  | 702616969|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.68773642|  PASSED  
          sts_serial|   2|    100000|     100|0.70865403|  PASSED  
          sts_serial|   3|    100000|     100|0.69119373|  PASSED  
          sts_serial|   3|    100000|     100|0.44377553|  PASSED  
          sts_serial|   4|    100000|     100|0.90081535|  PASSED  
          sts_serial|   4|    100000|     100|0.04421060|  PASSED  
          sts_serial|   5|    100000|     100|0.68812610|  PASSED  
          sts_serial|   5|    100000|     100|0.88791858|  PASSED  
          sts_serial|   6|    100000|     100|0.03756062|  PASSED  
          sts_serial|   6|    100000|     100|0.06942212|  PASSED  
          sts_serial|   7|    100000|     100|0.79732132|  PASSED  
          sts_serial|   7|    100000|     100|0.04887182|  PASSED  
          sts_serial|   8|    100000|     100|0.99468782|  PASSED  
          sts_serial|   8|    100000|     100|0.82132326|  PASSED  
          sts_serial|   9|    100000|     100|0.51619990|  PASSED  
          sts_serial|   9|    100000|     100|0.82237075|  PASSED  
          sts_serial|  10|    100000|     100|0.98868017|  PASSED  
          sts_serial|  10|    100000|     100|0.99503397|   WEAK   
          sts_serial|  11|    100000|     100|0.42669530|  PASSED  
          sts_serial|  11|    100000|     100|0.19006020|  PASSED  
          sts_serial|  12|    100000|     100|0.66013154|  PASSED  
          sts_serial|  12|    100000|     100|0.85588759|  PASSED  
          sts_serial|  13|    100000|     100|0.07200917|  PASSED  
          sts_serial|  13|    100000|     100|0.16943346|  PASSED  
          sts_serial|  14|    100000|     100|0.14631929|  PASSED  
          sts_serial|  14|    100000|     100|0.59741426|  PASSED  
          sts_serial|  15|    100000|     100|0.72346188|  PASSED  
          sts_serial|  15|    100000|     100|0.71610479|  PASSED  
          sts_serial|  16|    100000|     100|0.02010344|  PASSED  
          sts_serial|  16|    100000|     100|0.12238181|  PASSED  
