#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
        AES_OFB|  3.10e+07  |3122144405|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.96690340|  PASSED  
          sts_serial|   2|    100000|     100|0.30593767|  PASSED  
          sts_serial|   3|    100000|     100|0.01844930|  PASSED  
          sts_serial|   3|    100000|     100|0.91137240|  PASSED  
          sts_serial|   4|    100000|     100|0.90750675|  PASSED  
          sts_serial|   4|    100000|     100|0.06196359|  PASSED  
          sts_serial|   5|    100000|     100|0.58999187|  PASSED  
          sts_serial|   5|    100000|     100|0.97218979|  PASSED  
          sts_serial|   6|    100000|     100|0.41584079|  PASSED  
          sts_serial|   6|    100000|     100|0.89989144|  PASSED  
          sts_serial|   7|    100000|     100|0.09054158|  PASSED  
          sts_serial|   7|    100000|     100|0.59479387|  PASSED  
          sts_serial|   8|    100000|     100|0.10641753|  PASSED  
          sts_serial|   8|    100000|     100|0.16816052|  PASSED  
          sts_serial|   9|    100000|     100|0.11799464|  PASSED  
          sts_serial|   9|    100000|     100|0.60859488|  PASSED  
          sts_serial|  10|    100000|     100|0.65805488|  PASSED  
          sts_serial|  10|    100000|     100|0.96310083|  PASSED  
          sts_serial|  11|    100000|     100|0.20899457|  PASSED  
          sts_serial|  11|    100000|     100|0.88481956|  PASSED  
          sts_serial|  12|    100000|     100|0.08634685|  PASSED  
          sts_serial|  12|    100000|     100|0.88705973|  PASSED  
          sts_serial|  13|    100000|     100|0.94794172|  PASSED  
          sts_serial|  13|    100000|     100|0.97722799|  PASSED  
          sts_serial|  14|    100000|     100|0.46308891|  PASSED  
          sts_serial|  14|    100000|     100|0.76815133|  PASSED  
          sts_serial|  15|    100000|     100|0.68329026|  PASSED  
          sts_serial|  15|    100000|     100|0.42200726|  PASSED  
          sts_serial|  16|    100000|     100|0.37022033|  PASSED  
          sts_serial|  16|    100000|     100|0.93388772|  PASSED  
