#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
R_marsaglia_multic.|  5.80e+07  |3109656006|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.15949816|  PASSED  
          sts_serial|   2|    100000|     100|0.45336849|  PASSED  
          sts_serial|   3|    100000|     100|0.31280382|  PASSED  
          sts_serial|   3|    100000|     100|0.29724517|  PASSED  
          sts_serial|   4|    100000|     100|0.49635694|  PASSED  
          sts_serial|   4|    100000|     100|0.98576536|  PASSED  
          sts_serial|   5|    100000|     100|0.55842536|  PASSED  
          sts_serial|   5|    100000|     100|0.42705571|  PASSED  
          sts_serial|   6|    100000|     100|0.60896214|  PASSED  
          sts_serial|   6|    100000|     100|0.19526958|  PASSED  
          sts_serial|   7|    100000|     100|0.75165528|  PASSED  
          sts_serial|   7|    100000|     100|0.94172043|  PASSED  
          sts_serial|   8|    100000|     100|0.79305140|  PASSED  
          sts_serial|   8|    100000|     100|0.48133335|  PASSED  
          sts_serial|   9|    100000|     100|0.60938076|  PASSED  
          sts_serial|   9|    100000|     100|0.15098547|  PASSED  
          sts_serial|  10|    100000|     100|0.37389919|  PASSED  
          sts_serial|  10|    100000|     100|0.39852342|  PASSED  
          sts_serial|  11|    100000|     100|0.83264853|  PASSED  
          sts_serial|  11|    100000|     100|0.94583716|  PASSED  
          sts_serial|  12|    100000|     100|0.80717800|  PASSED  
          sts_serial|  12|    100000|     100|0.91479898|  PASSED  
          sts_serial|  13|    100000|     100|0.82762792|  PASSED  
          sts_serial|  13|    100000|     100|0.33506636|  PASSED  
          sts_serial|  14|    100000|     100|0.26515332|  PASSED  
          sts_serial|  14|    100000|     100|0.91259651|  PASSED  
          sts_serial|  15|    100000|     100|0.55519079|  PASSED  
          sts_serial|  15|    100000|     100|0.36387521|  PASSED  
          sts_serial|  16|    100000|     100|0.43324680|  PASSED  
          sts_serial|  16|    100000|     100|0.77708634|  PASSED  
