#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
           cmrg|  2.85e+07  |  56807419|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.09582530|  PASSED  
          sts_serial|   2|    100000|     100|0.19525625|  PASSED  
          sts_serial|   3|    100000|     100|0.51507959|  PASSED  
          sts_serial|   3|    100000|     100|0.50937527|  PASSED  
          sts_serial|   4|    100000|     100|0.44381878|  PASSED  
          sts_serial|   4|    100000|     100|0.67253583|  PASSED  
          sts_serial|   5|    100000|     100|0.26152995|  PASSED  
          sts_serial|   5|    100000|     100|0.08723910|  PASSED  
          sts_serial|   6|    100000|     100|0.27567039|  PASSED  
          sts_serial|   6|    100000|     100|0.95876753|  PASSED  
          sts_serial|   7|    100000|     100|0.11558905|  PASSED  
          sts_serial|   7|    100000|     100|0.10152041|  PASSED  
          sts_serial|   8|    100000|     100|0.00979098|  PASSED  
          sts_serial|   8|    100000|     100|0.46070572|  PASSED  
          sts_serial|   9|    100000|     100|0.05430146|  PASSED  
          sts_serial|   9|    100000|     100|0.73951118|  PASSED  
          sts_serial|  10|    100000|     100|0.02608366|  PASSED  
          sts_serial|  10|    100000|     100|0.74893439|  PASSED  
          sts_serial|  11|    100000|     100|0.42613634|  PASSED  
          sts_serial|  11|    100000|     100|0.91064247|  PASSED  
          sts_serial|  12|    100000|     100|0.85621769|  PASSED  
          sts_serial|  12|    100000|     100|0.94833223|  PASSED  
          sts_serial|  13|    100000|     100|0.75185170|  PASSED  
          sts_serial|  13|    100000|     100|0.70990576|  PASSED  
          sts_serial|  14|    100000|     100|0.66283853|  PASSED  
          sts_serial|  14|    100000|     100|0.95343674|  PASSED  
          sts_serial|  15|    100000|     100|0.09880907|  PASSED  
          sts_serial|  15|    100000|     100|0.04548941|  PASSED  
          sts_serial|  16|    100000|     100|0.42747134|  PASSED  
          sts_serial|  16|    100000|     100|0.21282383|  PASSED  
