#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
      fishman20|  5.24e+07  |3053257897|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.82890994|  PASSED  
          sts_serial|   2|    100000|     100|0.30283887|  PASSED  
          sts_serial|   3|    100000|     100|0.84321886|  PASSED  
          sts_serial|   3|    100000|     100|0.05910782|  PASSED  
          sts_serial|   4|    100000|     100|0.52058553|  PASSED  
          sts_serial|   4|    100000|     100|0.73590867|  PASSED  
          sts_serial|   5|    100000|     100|0.95005601|  PASSED  
          sts_serial|   5|    100000|     100|0.99996291|   WEAK   
          sts_serial|   6|    100000|     100|0.20742261|  PASSED  
          sts_serial|   6|    100000|     100|0.02686432|  PASSED  
          sts_serial|   7|    100000|     100|0.18695330|  PASSED  
          sts_serial|   7|    100000|     100|0.76549227|  PASSED  
          sts_serial|   8|    100000|     100|0.12085644|  PASSED  
          sts_serial|   8|    100000|     100|0.99901555|   WEAK   
          sts_serial|   9|    100000|     100|0.60736194|  PASSED  
          sts_serial|   9|    100000|     100|0.58859116|  PASSED  
          sts_serial|  10|    100000|     100|0.76313877|  PASSED  
          sts_serial|  10|    100000|     100|0.52319724|  PASSED  
          sts_serial|  11|    100000|     100|0.98615961|  PASSED  
          sts_serial|  11|    100000|     100|0.99491502|  PASSED  
          sts_serial|  12|    100000|     100|0.32740146|  PASSED  
          sts_serial|  12|    100000|     100|0.46100094|  PASSED  
          sts_serial|  13|    100000|     100|0.69973891|  PASSED  
          sts_serial|  13|    100000|     100|0.66225900|  PASSED  
          sts_serial|  14|    100000|     100|0.50736079|  PASSED  
          sts_serial|  14|    100000|     100|0.52665449|  PASSED  
          sts_serial|  15|    100000|     100|0.68117100|  PASSED  
          sts_serial|  15|    100000|     100|0.91501706|  PASSED  
          sts_serial|  16|    100000|     100|0.20978888|  PASSED  
          sts_serial|  16|    100000|     100|0.10682642|  PASSED  
