#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
      fishman2x|  7.74e+07  | 698517350|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.66481903|  PASSED  
          sts_serial|   2|    100000|     100|0.06739523|  PASSED  
          sts_serial|   3|    100000|     100|0.04078137|  PASSED  
          sts_serial|   3|    100000|     100|0.99901191|   WEAK   
          sts_serial|   4|    100000|     100|0.03272776|  PASSED  
          sts_serial|   4|    100000|     100|0.18102922|  PASSED  
          sts_serial|   5|    100000|     100|0.00642038|  PASSED  
          sts_serial|   5|    100000|     100|0.72095643|  PASSED  
          sts_serial|   6|    100000|     100|0.47452988|  PASSED  
          sts_serial|   6|    100000|     100|0.84904246|  PASSED  
          sts_serial|   7|    100000|     100|0.11866491|  PASSED  
          sts_serial|   7|    100000|     100|0.41464429|  PASSED  
          sts_serial|   8|    100000|     100|0.52988975|  PASSED  
          sts_serial|   8|    100000|     100|0.58170800|  PASSED  
          sts_serial|   9|    100000|     100|0.02353809|  PASSED  
          sts_serial|   9|    100000|     100|0.01435738|  PASSED  
          sts_serial|  10|    100000|     100|0.84296950|  PASSED  
          sts_serial|  10|    100000|     100|0.16020989|  PASSED  
          sts_serial|  11|    100000|     100|0.80505649|  PASSED  
          sts_serial|  11|    100000|     100|0.96130575|  PASSED  
          sts_serial|  12|    100000|     100|0.75915640|  PASSED  
          sts_serial|  12|    100000|     100|0.93740738|  PASSED  
          sts_serial|  13|    100000|     100|0.35609165|  PASSED  
          sts_serial|  13|    100000|     100|0.71997488|  PASSED  
          sts_serial|  14|    100000|     100|0.87652358|  PASSED  
          sts_serial|  14|    100000|     100|0.92267280|  PASSED  
          sts_serial|  15|    100000|     100|0.97765747|  PASSED  
          sts_serial|  15|    100000|     100|0.81300314|  PASSED  
          sts_serial|  16|    100000|     100|0.91287710|  PASSED  
          sts_serial|  16|    100000|     100|0.90306173|  PASSED  
