#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
          gfsr4|  1.51e+08  |2063068337|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.73117048|  PASSED  
          sts_serial|   2|    100000|     100|0.19103626|  PASSED  
          sts_serial|   3|    100000|     100|0.81895637|  PASSED  
          sts_serial|   3|    100000|     100|0.09697319|  PASSED  
          sts_serial|   4|    100000|     100|0.99322515|  PASSED  
          sts_serial|   4|    100000|     100|0.43330268|  PASSED  
          sts_serial|   5|    100000|     100|0.82879928|  PASSED  
          sts_serial|   5|    100000|     100|0.79978359|  PASSED  
          sts_serial|   6|    100000|     100|0.96632134|  PASSED  
          sts_serial|   6|    100000|     100|0.80898616|  PASSED  
          sts_serial|   7|    100000|     100|0.13795347|  PASSED  
          sts_serial|   7|    100000|     100|0.67357206|  PASSED  
          sts_serial|   8|    100000|     100|0.51160180|  PASSED  
          sts_serial|   8|    100000|     100|0.09323574|  PASSED  
          sts_serial|   9|    100000|     100|0.99674604|   WEAK   
          sts_serial|   9|    100000|     100|0.31120859|  PASSED  
          sts_serial|  10|    100000|     100|0.40453184|  PASSED  
          sts_serial|  10|    100000|     100|0.29379955|  PASSED  
          sts_serial|  11|    100000|     100|0.56316517|  PASSED  
          sts_serial|  11|    100000|     100|0.33340996|  PASSED  
          sts_serial|  12|    100000|     100|0.52267848|  PASSED  
          sts_serial|  12|    100000|     100|0.32208159|  PASSED  
          sts_serial|  13|    100000|     100|0.04082756|  PASSED  
          sts_serial|  13|    100000|     100|0.99185317|  PASSED  
          sts_serial|  14|    100000|     100|0.28549206|  PASSED  
          sts_serial|  14|    100000|     100|0.29799663|  PASSED  
          sts_serial|  15|    100000|     100|0.07995590|  PASSED  
          sts_serial|  15|    100000|     100|0.04828040|  PASSED  
          sts_serial|  16|    100000|     100|0.03532883|  PASSED  
          sts_serial|  16|    100000|     100|0.41225437|  PASSED  
