#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
       knuthran|  8.21e+07  |1132070260|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.19358619|  PASSED  
          sts_serial|   2|    100000|     100|0.98656678|  PASSED  
          sts_serial|   3|    100000|     100|0.48671323|  PASSED  
          sts_serial|   3|    100000|     100|0.43474753|  PASSED  
          sts_serial|   4|    100000|     100|0.77003580|  PASSED  
          sts_serial|   4|    100000|     100|0.93401129|  PASSED  
          sts_serial|   5|    100000|     100|0.61036022|  PASSED  
          sts_serial|   5|    100000|     100|0.73527277|  PASSED  
          sts_serial|   6|    100000|     100|0.45656328|  PASSED  
          sts_serial|   6|    100000|     100|0.24346212|  PASSED  
          sts_serial|   7|    100000|     100|0.55672927|  PASSED  
          sts_serial|   7|    100000|     100|0.98573323|  PASSED  
          sts_serial|   8|    100000|     100|0.75875319|  PASSED  
          sts_serial|   8|    100000|     100|0.52834270|  PASSED  
          sts_serial|   9|    100000|     100|0.72484730|  PASSED  
          sts_serial|   9|    100000|     100|0.79393067|  PASSED  
          sts_serial|  10|    100000|     100|0.97864354|  PASSED  
          sts_serial|  10|    100000|     100|0.95401326|  PASSED  
          sts_serial|  11|    100000|     100|0.94168428|  PASSED  
          sts_serial|  11|    100000|     100|0.61301995|  PASSED  
          sts_serial|  12|    100000|     100|0.88120720|  PASSED  
          sts_serial|  12|    100000|     100|0.81730978|  PASSED  
          sts_serial|  13|    100000|     100|0.25804762|  PASSED  
          sts_serial|  13|    100000|     100|0.59445033|  PASSED  
          sts_serial|  14|    100000|     100|0.28744915|  PASSED  
          sts_serial|  14|    100000|     100|0.08119171|  PASSED  
          sts_serial|  15|    100000|     100|0.72418964|  PASSED  
          sts_serial|  15|    100000|     100|0.49957342|  PASSED  
          sts_serial|  16|    100000|     100|0.96935796|  PASSED  
          sts_serial|  16|    100000|     100|0.94785121|  PASSED  
