#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
      knuthran2|  1.86e+07  |3771875252|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.08726037|  PASSED  
          sts_serial|   2|    100000|     100|0.90881649|  PASSED  
          sts_serial|   3|    100000|     100|0.97464355|  PASSED  
          sts_serial|   3|    100000|     100|0.81116694|  PASSED  
          sts_serial|   4|    100000|     100|0.05205918|  PASSED  
          sts_serial|   4|    100000|     100|0.13382149|  PASSED  
          sts_serial|   5|    100000|     100|0.16979037|  PASSED  
          sts_serial|   5|    100000|     100|0.83801776|  PASSED  
          sts_serial|   6|    100000|     100|0.75954632|  PASSED  
          sts_serial|   6|    100000|     100|0.97725770|  PASSED  
          sts_serial|   7|    100000|     100|0.87546906|  PASSED  
          sts_serial|   7|    100000|     100|0.83940649|  PASSED  
          sts_serial|   8|    100000|     100|0.29854835|  PASSED  
          sts_serial|   8|    100000|     100|0.92163030|  PASSED  
          sts_serial|   9|    100000|     100|0.25069023|  PASSED  
          sts_serial|   9|    100000|     100|0.97920254|  PASSED  
          sts_serial|  10|    100000|     100|0.55206379|  PASSED  
          sts_serial|  10|    100000|     100|0.27801687|  PASSED  
          sts_serial|  11|    100000|     100|0.88736882|  PASSED  
          sts_serial|  11|    100000|     100|0.68219476|  PASSED  
          sts_serial|  12|    100000|     100|0.98051501|  PASSED  
          sts_serial|  12|    100000|     100|0.45024715|  PASSED  
          sts_serial|  13|    100000|     100|0.78411556|  PASSED  
          sts_serial|  13|    100000|     100|0.52039394|  PASSED  
          sts_serial|  14|    100000|     100|0.88156038|  PASSED  
          sts_serial|  14|    100000|     100|0.63355750|  PASSED  
          sts_serial|  15|    100000|     100|0.19296778|  PASSED  
          sts_serial|  15|    100000|     100|0.17101779|  PASSED  
          sts_serial|  16|    100000|     100|0.76418828|  PASSED  
          sts_serial|  16|    100000|     100|0.76795377|  PASSED  
