#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         minstd|  6.74e+07  |1662318582|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.43853120|  PASSED  
          sts_serial|   2|    100000|     100|0.48748516|  PASSED  
          sts_serial|   3|    100000|     100|0.98719484|  PASSED  
          sts_serial|   3|    100000|     100|0.97800274|  PASSED  
          sts_serial|   4|    100000|     100|0.33668692|  PASSED  
          sts_serial|   4|    100000|     100|0.37371016|  PASSED  
          sts_serial|   5|    100000|     100|0.49518757|  PASSED  
          sts_serial|   5|    100000|     100|0.69786249|  PASSED  
          sts_serial|   6|    100000|     100|0.42447613|  PASSED  
          sts_serial|   6|    100000|     100|0.77619184|  PASSED  
          sts_serial|   7|    100000|     100|0.99894587|   WEAK   
          sts_serial|   7|    100000|     100|0.19623491|  PASSED  
          sts_serial|   8|    100000|     100|0.42987557|  PASSED  
          sts_serial|   8|    100000|     100|0.20452302|  PASSED  
          sts_serial|   9|    100000|     100|0.17355834|  PASSED  
          sts_serial|   9|    100000|     100|0.48315375|  PASSED  
          sts_serial|  10|    100000|     100|0.36812405|  PASSED  
          sts_serial|  10|    100000|     100|0.94199510|  PASSED  
          sts_serial|  11|    100000|     100|0.35237284|  PASSED  
          sts_serial|  11|    100000|     100|0.31173071|  PASSED  
          sts_serial|  12|    100000|     100|0.14103942|  PASSED  
          sts_serial|  12|    100000|     100|0.29121958|  PASSED  
          sts_serial|  13|    100000|     100|0.67258333|  PASSED  
          sts_serial|  13|    100000|     100|0.71914717|  PASSED  
          sts_serial|  14|    100000|     100|0.99648250|   WEAK   
          sts_serial|  14|    100000|     100|0.48189589|  PASSED  
          sts_serial|  15|    100000|     100|0.59817377|  PASSED  
          sts_serial|  15|    100000|     100|0.45984338|  PASSED  
          sts_serial|  16|    100000|     100|0.96779430|  PASSED  
          sts_serial|  16|    100000|     100|0.86383387|  PASSED  
