#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
            mrg|  4.51e+07  | 517679714|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.10819493|  PASSED  
          sts_serial|   2|    100000|     100|0.92903101|  PASSED  
          sts_serial|   3|    100000|     100|0.74088559|  PASSED  
          sts_serial|   3|    100000|     100|0.80130768|  PASSED  
          sts_serial|   4|    100000|     100|0.24742810|  PASSED  
          sts_serial|   4|    100000|     100|0.50544879|  PASSED  
          sts_serial|   5|    100000|     100|0.72776731|  PASSED  
          sts_serial|   5|    100000|     100|0.64565039|  PASSED  
          sts_serial|   6|    100000|     100|0.98269749|  PASSED  
          sts_serial|   6|    100000|     100|0.54281273|  PASSED  
          sts_serial|   7|    100000|     100|0.81057671|  PASSED  
          sts_serial|   7|    100000|     100|0.48836516|  PASSED  
          sts_serial|   8|    100000|     100|0.40472304|  PASSED  
          sts_serial|   8|    100000|     100|0.39832993|  PASSED  
          sts_serial|   9|    100000|     100|0.29932653|  PASSED  
          sts_serial|   9|    100000|     100|0.34654648|  PASSED  
          sts_serial|  10|    100000|     100|0.18717958|  PASSED  
          sts_serial|  10|    100000|     100|0.10853474|  PASSED  
          sts_serial|  11|    100000|     100|0.48229243|  PASSED  
          sts_serial|  11|    100000|     100|0.38840441|  PASSED  
          sts_serial|  12|    100000|     100|0.44208853|  PASSED  
          sts_serial|  12|    100000|     100|0.28706229|  PASSED  
          sts_serial|  13|    100000|     100|0.61193158|  PASSED  
          sts_serial|  13|    100000|     100|0.69446541|  PASSED  
          sts_serial|  14|    100000|     100|0.87436614|  PASSED  
          sts_serial|  14|    100000|     100|0.89753976|  PASSED  
          sts_serial|  15|    100000|     100|0.43449785|  PASSED  
          sts_serial|  15|    100000|     100|0.75139742|  PASSED  
          sts_serial|  16|    100000|     100|0.97799432|  PASSED  
          sts_serial|  16|    100000|     100|0.47809595|  PASSED  
