#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
           r250|  1.59e+08  |3033962603|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.99220863|  PASSED  
          sts_serial|   2|    100000|     100|0.29173064|  PASSED  
          sts_serial|   3|    100000|     100|0.71761764|  PASSED  
          sts_serial|   3|    100000|     100|0.32580589|  PASSED  
          sts_serial|   4|    100000|     100|0.95983853|  PASSED  
          sts_serial|   4|    100000|     100|0.07422386|  PASSED  
          sts_serial|   5|    100000|     100|0.56975921|  PASSED  
          sts_serial|   5|    100000|     100|0.99228322|  PASSED  
          sts_serial|   6|    100000|     100|0.85247688|  PASSED  
          sts_serial|   6|    100000|     100|0.44047378|  PASSED  
          sts_serial|   7|    100000|     100|0.74009750|  PASSED  
          sts_serial|   7|    100000|     100|0.31131029|  PASSED  
          sts_serial|   8|    100000|     100|0.77306251|  PASSED  
          sts_serial|   8|    100000|     100|0.19582629|  PASSED  
          sts_serial|   9|    100000|     100|0.57970654|  PASSED  
          sts_serial|   9|    100000|     100|0.39208724|  PASSED  
          sts_serial|  10|    100000|     100|0.19089199|  PASSED  
          sts_serial|  10|    100000|     100|0.56896731|  PASSED  
          sts_serial|  11|    100000|     100|0.29058822|  PASSED  
          sts_serial|  11|    100000|     100|0.34723915|  PASSED  
          sts_serial|  12|    100000|     100|0.97012605|  PASSED  
          sts_serial|  12|    100000|     100|0.65782871|  PASSED  
          sts_serial|  13|    100000|     100|0.55120988|  PASSED  
          sts_serial|  13|    100000|     100|0.96347531|  PASSED  
          sts_serial|  14|    100000|     100|0.23074953|  PASSED  
          sts_serial|  14|    100000|     100|0.20774538|  PASSED  
          sts_serial|  15|    100000|     100|0.97474617|  PASSED  
          sts_serial|  15|    100000|     100|0.75390293|  PASSED  
          sts_serial|  16|    100000|     100|0.34933771|  PASSED  
          sts_serial|  16|    100000|     100|0.68465298|  PASSED  
