#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
           r250|  1.74e+08  |   3815845|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.00000882|   WEAK   
          sts_serial|   2|    100000|     100|0.21531606|  PASSED  
          sts_serial|   3|    100000|     100|0.66690147|  PASSED  
          sts_serial|   3|    100000|     100|0.96637903|  PASSED  
          sts_serial|   4|    100000|     100|0.76978114|  PASSED  
          sts_serial|   4|    100000|     100|0.95570002|  PASSED  
          sts_serial|   5|    100000|     100|0.27562340|  PASSED  
          sts_serial|   5|    100000|     100|0.16504682|  PASSED  
          sts_serial|   6|    100000|     100|0.14389910|  PASSED  
          sts_serial|   6|    100000|     100|0.75097370|  PASSED  
          sts_serial|   7|    100000|     100|0.37280412|  PASSED  
          sts_serial|   7|    100000|     100|0.23928796|  PASSED  
          sts_serial|   8|    100000|     100|0.49729270|  PASSED  
          sts_serial|   8|    100000|     100|0.59744410|  PASSED  
          sts_serial|   9|    100000|     100|0.87756971|  PASSED  
          sts_serial|   9|    100000|     100|0.69204537|  PASSED  
          sts_serial|  10|    100000|     100|0.28248452|  PASSED  
          sts_serial|  10|    100000|     100|0.09421407|  PASSED  
          sts_serial|  11|    100000|     100|0.40142424|  PASSED  
          sts_serial|  11|    100000|     100|0.59021202|  PASSED  
          sts_serial|  12|    100000|     100|0.95527510|  PASSED  
          sts_serial|  12|    100000|     100|0.41772417|  PASSED  
          sts_serial|  13|    100000|     100|0.51054621|  PASSED  
          sts_serial|  13|    100000|     100|0.25720101|  PASSED  
          sts_serial|  14|    100000|     100|0.35405466|  PASSED  
          sts_serial|  14|    100000|     100|0.41714534|  PASSED  
          sts_serial|  15|    100000|     100|0.38335844|  PASSED  
          sts_serial|  15|    100000|     100|0.22255623|  PASSED  
          sts_serial|  16|    100000|     100|0.09323648|  PASSED  
          sts_serial|  16|    100000|     100|0.59214448|  PASSED  
