#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         rand48|  1.65e+08  |1876445161|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.65526986|  PASSED  
          sts_serial|   2|    100000|     100|0.25352455|  PASSED  
          sts_serial|   3|    100000|     100|0.11966462|  PASSED  
          sts_serial|   3|    100000|     100|0.24351290|  PASSED  
          sts_serial|   4|    100000|     100|0.39649258|  PASSED  
          sts_serial|   4|    100000|     100|0.32458612|  PASSED  
          sts_serial|   5|    100000|     100|0.94366082|  PASSED  
          sts_serial|   5|    100000|     100|0.32899954|  PASSED  
          sts_serial|   6|    100000|     100|0.44581301|  PASSED  
          sts_serial|   6|    100000|     100|0.70404329|  PASSED  
          sts_serial|   7|    100000|     100|0.09345159|  PASSED  
          sts_serial|   7|    100000|     100|0.10193534|  PASSED  
          sts_serial|   8|    100000|     100|0.04637503|  PASSED  
          sts_serial|   8|    100000|     100|0.87959249|  PASSED  
          sts_serial|   9|    100000|     100|0.66392197|  PASSED  
          sts_serial|   9|    100000|     100|0.24717824|  PASSED  
          sts_serial|  10|    100000|     100|0.91369389|  PASSED  
          sts_serial|  10|    100000|     100|0.28404592|  PASSED  
          sts_serial|  11|    100000|     100|0.89579882|  PASSED  
          sts_serial|  11|    100000|     100|0.94292968|  PASSED  
          sts_serial|  12|    100000|     100|0.51977374|  PASSED  
          sts_serial|  12|    100000|     100|0.76276988|  PASSED  
          sts_serial|  13|    100000|     100|0.78423832|  PASSED  
          sts_serial|  13|    100000|     100|0.99579252|   WEAK   
          sts_serial|  14|    100000|     100|0.56664199|  PASSED  
          sts_serial|  14|    100000|     100|0.87882788|  PASSED  
          sts_serial|  15|    100000|     100|0.44892505|  PASSED  
          sts_serial|  15|    100000|     100|0.68011812|  PASSED  
          sts_serial|  16|    100000|     100|0.48941367|  PASSED  
          sts_serial|  16|    100000|     100|0.67282094|  PASSED  
