#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
random256-glibc2|  1.58e+08  | 303369145|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.31547831|  PASSED  
          sts_serial|   2|    100000|     100|0.65487230|  PASSED  
          sts_serial|   3|    100000|     100|0.96596973|  PASSED  
          sts_serial|   3|    100000|     100|0.80343295|  PASSED  
          sts_serial|   4|    100000|     100|0.65232543|  PASSED  
          sts_serial|   4|    100000|     100|0.52195924|  PASSED  
          sts_serial|   5|    100000|     100|0.96406576|  PASSED  
          sts_serial|   5|    100000|     100|0.56967164|  PASSED  
          sts_serial|   6|    100000|     100|0.74418313|  PASSED  
          sts_serial|   6|    100000|     100|0.65940439|  PASSED  
          sts_serial|   7|    100000|     100|0.89502408|  PASSED  
          sts_serial|   7|    100000|     100|0.54800297|  PASSED  
          sts_serial|   8|    100000|     100|0.81640749|  PASSED  
          sts_serial|   8|    100000|     100|0.25074417|  PASSED  
          sts_serial|   9|    100000|     100|0.38566836|  PASSED  
          sts_serial|   9|    100000|     100|0.82099377|  PASSED  
          sts_serial|  10|    100000|     100|0.41157370|  PASSED  
          sts_serial|  10|    100000|     100|0.31399093|  PASSED  
          sts_serial|  11|    100000|     100|0.08944295|  PASSED  
          sts_serial|  11|    100000|     100|0.81545702|  PASSED  
          sts_serial|  12|    100000|     100|0.17670855|  PASSED  
          sts_serial|  12|    100000|     100|0.42628943|  PASSED  
          sts_serial|  13|    100000|     100|0.08360628|  PASSED  
          sts_serial|  13|    100000|     100|0.98993350|  PASSED  
          sts_serial|  14|    100000|     100|0.16393529|  PASSED  
          sts_serial|  14|    100000|     100|0.71418227|  PASSED  
          sts_serial|  15|    100000|     100|0.18648848|  PASSED  
          sts_serial|  15|    100000|     100|0.72516445|  PASSED  
          sts_serial|  16|    100000|     100|0.21082544|  PASSED  
          sts_serial|  16|    100000|     100|0.69051355|  PASSED  
