#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
     random-bsd|  1.58e+08  | 483416076|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.90759674|  PASSED  
          sts_serial|   2|    100000|     100|0.59659638|  PASSED  
          sts_serial|   3|    100000|     100|0.83945208|  PASSED  
          sts_serial|   3|    100000|     100|0.53998850|  PASSED  
          sts_serial|   4|    100000|     100|0.97629299|  PASSED  
          sts_serial|   4|    100000|     100|0.55724924|  PASSED  
          sts_serial|   5|    100000|     100|0.81213158|  PASSED  
          sts_serial|   5|    100000|     100|0.74976859|  PASSED  
          sts_serial|   6|    100000|     100|0.66840316|  PASSED  
          sts_serial|   6|    100000|     100|0.87855909|  PASSED  
          sts_serial|   7|    100000|     100|0.67124368|  PASSED  
          sts_serial|   7|    100000|     100|0.57627251|  PASSED  
          sts_serial|   8|    100000|     100|0.67831953|  PASSED  
          sts_serial|   8|    100000|     100|0.96864877|  PASSED  
          sts_serial|   9|    100000|     100|0.39732701|  PASSED  
          sts_serial|   9|    100000|     100|0.74422142|  PASSED  
          sts_serial|  10|    100000|     100|0.14648440|  PASSED  
          sts_serial|  10|    100000|     100|0.14411100|  PASSED  
          sts_serial|  11|    100000|     100|0.23643923|  PASSED  
          sts_serial|  11|    100000|     100|0.19625221|  PASSED  
          sts_serial|  12|    100000|     100|0.90026853|  PASSED  
          sts_serial|  12|    100000|     100|0.72547763|  PASSED  
          sts_serial|  13|    100000|     100|0.36087354|  PASSED  
          sts_serial|  13|    100000|     100|0.53609253|  PASSED  
          sts_serial|  14|    100000|     100|0.26349292|  PASSED  
          sts_serial|  14|    100000|     100|0.59794359|  PASSED  
          sts_serial|  15|    100000|     100|0.47320702|  PASSED  
          sts_serial|  15|    100000|     100|0.91645002|  PASSED  
          sts_serial|  16|    100000|     100|0.49726275|  PASSED  
          sts_serial|  16|    100000|     100|0.81592759|  PASSED  
