#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
  random-glibc2|  1.54e+08  | 490307582|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.16357913|  PASSED  
          sts_serial|   2|    100000|     100|0.69208912|  PASSED  
          sts_serial|   3|    100000|     100|0.21608895|  PASSED  
          sts_serial|   3|    100000|     100|0.27631281|  PASSED  
          sts_serial|   4|    100000|     100|0.22548963|  PASSED  
          sts_serial|   4|    100000|     100|0.93293473|  PASSED  
          sts_serial|   5|    100000|     100|0.11836465|  PASSED  
          sts_serial|   5|    100000|     100|0.27963607|  PASSED  
          sts_serial|   6|    100000|     100|0.20571304|  PASSED  
          sts_serial|   6|    100000|     100|0.87149971|  PASSED  
          sts_serial|   7|    100000|     100|0.28982251|  PASSED  
          sts_serial|   7|    100000|     100|0.99431320|  PASSED  
          sts_serial|   8|    100000|     100|0.93985457|  PASSED  
          sts_serial|   8|    100000|     100|0.80135950|  PASSED  
          sts_serial|   9|    100000|     100|0.64271208|  PASSED  
          sts_serial|   9|    100000|     100|0.69576400|  PASSED  
          sts_serial|  10|    100000|     100|0.94670647|  PASSED  
          sts_serial|  10|    100000|     100|0.94571579|  PASSED  
          sts_serial|  11|    100000|     100|0.89689922|  PASSED  
          sts_serial|  11|    100000|     100|0.92372375|  PASSED  
          sts_serial|  12|    100000|     100|0.50185056|  PASSED  
          sts_serial|  12|    100000|     100|0.55681806|  PASSED  
          sts_serial|  13|    100000|     100|0.65610219|  PASSED  
          sts_serial|  13|    100000|     100|0.45980801|  PASSED  
          sts_serial|  14|    100000|     100|0.30422203|  PASSED  
          sts_serial|  14|    100000|     100|0.28588713|  PASSED  
          sts_serial|  15|    100000|     100|0.62715353|  PASSED  
          sts_serial|  15|    100000|     100|0.90247161|  PASSED  
          sts_serial|  16|    100000|     100|0.55697570|  PASSED  
          sts_serial|  16|    100000|     100|0.76711189|  PASSED  
