#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
   random-libc5|  1.19e+08  |3072643981|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.51924436|  PASSED  
          sts_serial|   2|    100000|     100|0.69620180|  PASSED  
          sts_serial|   3|    100000|     100|0.51524340|  PASSED  
          sts_serial|   3|    100000|     100|0.82617326|  PASSED  
          sts_serial|   4|    100000|     100|0.40938700|  PASSED  
          sts_serial|   4|    100000|     100|0.57357713|  PASSED  
          sts_serial|   5|    100000|     100|0.37799199|  PASSED  
          sts_serial|   5|    100000|     100|0.03374826|  PASSED  
          sts_serial|   6|    100000|     100|0.81853675|  PASSED  
          sts_serial|   6|    100000|     100|0.49138115|  PASSED  
          sts_serial|   7|    100000|     100|0.28100077|  PASSED  
          sts_serial|   7|    100000|     100|0.49248579|  PASSED  
          sts_serial|   8|    100000|     100|0.67990953|  PASSED  
          sts_serial|   8|    100000|     100|0.78981234|  PASSED  
          sts_serial|   9|    100000|     100|0.89064671|  PASSED  
          sts_serial|   9|    100000|     100|0.84838507|  PASSED  
          sts_serial|  10|    100000|     100|0.87286672|  PASSED  
          sts_serial|  10|    100000|     100|0.10118689|  PASSED  
          sts_serial|  11|    100000|     100|0.64814650|  PASSED  
          sts_serial|  11|    100000|     100|0.88523845|  PASSED  
          sts_serial|  12|    100000|     100|0.31911912|  PASSED  
          sts_serial|  12|    100000|     100|0.31843138|  PASSED  
          sts_serial|  13|    100000|     100|0.77052414|  PASSED  
          sts_serial|  13|    100000|     100|0.30232097|  PASSED  
          sts_serial|  14|    100000|     100|0.98108022|  PASSED  
          sts_serial|  14|    100000|     100|0.72633815|  PASSED  
          sts_serial|  15|    100000|     100|0.16579835|  PASSED  
          sts_serial|  15|    100000|     100|0.55149613|  PASSED  
          sts_serial|  16|    100000|     100|0.14784821|  PASSED  
          sts_serial|  16|    100000|     100|0.78400406|  PASSED  
