#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
      ranlux389|  6.20e+06  |  72720391|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.95172288|  PASSED  
          sts_serial|   2|    100000|     100|0.39610183|  PASSED  
          sts_serial|   3|    100000|     100|0.85060101|  PASSED  
          sts_serial|   3|    100000|     100|0.86866754|  PASSED  
          sts_serial|   4|    100000|     100|0.77725889|  PASSED  
          sts_serial|   4|    100000|     100|0.99470611|  PASSED  
          sts_serial|   5|    100000|     100|0.33859495|  PASSED  
          sts_serial|   5|    100000|     100|0.35552105|  PASSED  
          sts_serial|   6|    100000|     100|0.45343643|  PASSED  
          sts_serial|   6|    100000|     100|0.14059840|  PASSED  
          sts_serial|   7|    100000|     100|0.93054790|  PASSED  
          sts_serial|   7|    100000|     100|0.41634359|  PASSED  
          sts_serial|   8|    100000|     100|0.73903563|  PASSED  
          sts_serial|   8|    100000|     100|0.90364957|  PASSED  
          sts_serial|   9|    100000|     100|0.53064129|  PASSED  
          sts_serial|   9|    100000|     100|0.01779349|  PASSED  
          sts_serial|  10|    100000|     100|0.52831584|  PASSED  
          sts_serial|  10|    100000|     100|0.89381625|  PASSED  
          sts_serial|  11|    100000|     100|0.98848413|  PASSED  
          sts_serial|  11|    100000|     100|0.03240293|  PASSED  
          sts_serial|  12|    100000|     100|0.87657501|  PASSED  
          sts_serial|  12|    100000|     100|0.92329559|  PASSED  
          sts_serial|  13|    100000|     100|0.86331985|  PASSED  
          sts_serial|  13|    100000|     100|0.96849674|  PASSED  
          sts_serial|  14|    100000|     100|0.76834490|  PASSED  
          sts_serial|  14|    100000|     100|0.36194673|  PASSED  
          sts_serial|  15|    100000|     100|0.38398890|  PASSED  
          sts_serial|  15|    100000|     100|0.38987271|  PASSED  
          sts_serial|  16|    100000|     100|0.27415898|  PASSED  
          sts_serial|  16|    100000|     100|0.90466688|  PASSED  
