#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         ranmar|  8.80e+07  |1311541867|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.96332346|  PASSED  
          sts_serial|   2|    100000|     100|0.31240712|  PASSED  
          sts_serial|   3|    100000|     100|0.45048568|  PASSED  
          sts_serial|   3|    100000|     100|0.63736944|  PASSED  
          sts_serial|   4|    100000|     100|0.75769906|  PASSED  
          sts_serial|   4|    100000|     100|0.40005098|  PASSED  
          sts_serial|   5|    100000|     100|0.55435286|  PASSED  
          sts_serial|   5|    100000|     100|0.28890870|  PASSED  
          sts_serial|   6|    100000|     100|0.83420404|  PASSED  
          sts_serial|   6|    100000|     100|0.18310286|  PASSED  
          sts_serial|   7|    100000|     100|0.29503167|  PASSED  
          sts_serial|   7|    100000|     100|0.76486791|  PASSED  
          sts_serial|   8|    100000|     100|0.57870895|  PASSED  
          sts_serial|   8|    100000|     100|0.37543702|  PASSED  
          sts_serial|   9|    100000|     100|0.42602326|  PASSED  
          sts_serial|   9|    100000|     100|0.41362384|  PASSED  
          sts_serial|  10|    100000|     100|0.08174911|  PASSED  
          sts_serial|  10|    100000|     100|0.79251187|  PASSED  
          sts_serial|  11|    100000|     100|0.87815063|  PASSED  
          sts_serial|  11|    100000|     100|0.98610178|  PASSED  
          sts_serial|  12|    100000|     100|0.69263658|  PASSED  
          sts_serial|  12|    100000|     100|0.42853239|  PASSED  
          sts_serial|  13|    100000|     100|0.68598551|  PASSED  
          sts_serial|  13|    100000|     100|0.54833106|  PASSED  
          sts_serial|  14|    100000|     100|0.69859614|  PASSED  
          sts_serial|  14|    100000|     100|0.76695669|  PASSED  
          sts_serial|  15|    100000|     100|0.75017796|  PASSED  
          sts_serial|  15|    100000|     100|0.14576550|  PASSED  
          sts_serial|  16|    100000|     100|0.03368386|  PASSED  
          sts_serial|  16|    100000|     100|0.05020344|  PASSED  
