#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         ranmar|  8.84e+07  | 810426982|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.78354365|  PASSED  
          sts_serial|   2|    100000|     100|0.99133077|  PASSED  
          sts_serial|   3|    100000|     100|0.50710601|  PASSED  
          sts_serial|   3|    100000|     100|0.93207601|  PASSED  
          sts_serial|   4|    100000|     100|0.41898047|  PASSED  
          sts_serial|   4|    100000|     100|0.15162401|  PASSED  
          sts_serial|   5|    100000|     100|0.82770490|  PASSED  
          sts_serial|   5|    100000|     100|0.52039088|  PASSED  
          sts_serial|   6|    100000|     100|0.54964262|  PASSED  
          sts_serial|   6|    100000|     100|0.40494329|  PASSED  
          sts_serial|   7|    100000|     100|0.34275927|  PASSED  
          sts_serial|   7|    100000|     100|0.23140524|  PASSED  
          sts_serial|   8|    100000|     100|0.20512479|  PASSED  
          sts_serial|   8|    100000|     100|0.96532774|  PASSED  
          sts_serial|   9|    100000|     100|0.15817369|  PASSED  
          sts_serial|   9|    100000|     100|0.08080530|  PASSED  
          sts_serial|  10|    100000|     100|0.69433749|  PASSED  
          sts_serial|  10|    100000|     100|0.15193564|  PASSED  
          sts_serial|  11|    100000|     100|0.94312664|  PASSED  
          sts_serial|  11|    100000|     100|0.95981318|  PASSED  
          sts_serial|  12|    100000|     100|0.59639923|  PASSED  
          sts_serial|  12|    100000|     100|0.66106277|  PASSED  
          sts_serial|  13|    100000|     100|0.96103094|  PASSED  
          sts_serial|  13|    100000|     100|0.79035654|  PASSED  
          sts_serial|  14|    100000|     100|0.33204218|  PASSED  
          sts_serial|  14|    100000|     100|0.52819958|  PASSED  
          sts_serial|  15|    100000|     100|0.16154158|  PASSED  
          sts_serial|  15|    100000|     100|0.08015821|  PASSED  
          sts_serial|  16|    100000|     100|0.36732517|  PASSED  
          sts_serial|  16|    100000|     100|0.13619400|  PASSED  
