#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
           taus|  1.38e+08  |4020316490|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.57397284|  PASSED  
          sts_serial|   2|    100000|     100|0.83279600|  PASSED  
          sts_serial|   3|    100000|     100|0.48841116|  PASSED  
          sts_serial|   3|    100000|     100|0.69173883|  PASSED  
          sts_serial|   4|    100000|     100|0.74284451|  PASSED  
          sts_serial|   4|    100000|     100|0.97030970|  PASSED  
          sts_serial|   5|    100000|     100|0.67693134|  PASSED  
          sts_serial|   5|    100000|     100|0.05111430|  PASSED  
          sts_serial|   6|    100000|     100|0.82268697|  PASSED  
          sts_serial|   6|    100000|     100|0.95570075|  PASSED  
          sts_serial|   7|    100000|     100|0.48543197|  PASSED  
          sts_serial|   7|    100000|     100|0.63966947|  PASSED  
          sts_serial|   8|    100000|     100|0.93131251|  PASSED  
          sts_serial|   8|    100000|     100|0.74876284|  PASSED  
          sts_serial|   9|    100000|     100|0.97510371|  PASSED  
          sts_serial|   9|    100000|     100|0.87918735|  PASSED  
          sts_serial|  10|    100000|     100|0.40907007|  PASSED  
          sts_serial|  10|    100000|     100|0.09769080|  PASSED  
          sts_serial|  11|    100000|     100|0.11901678|  PASSED  
          sts_serial|  11|    100000|     100|0.97494117|  PASSED  
          sts_serial|  12|    100000|     100|0.90924025|  PASSED  
          sts_serial|  12|    100000|     100|0.32561564|  PASSED  
          sts_serial|  13|    100000|     100|0.29235438|  PASSED  
          sts_serial|  13|    100000|     100|0.29846407|  PASSED  
          sts_serial|  14|    100000|     100|0.12492587|  PASSED  
          sts_serial|  14|    100000|     100|0.14351150|  PASSED  
          sts_serial|  15|    100000|     100|0.82159622|  PASSED  
          sts_serial|  15|    100000|     100|0.62569631|  PASSED  
          sts_serial|  16|    100000|     100|0.76564231|  PASSED  
          sts_serial|  16|    100000|     100|0.96616712|  PASSED  
