#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
          taus2|  1.37e+08  |4180211978|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.38983654|  PASSED  
          sts_serial|   2|    100000|     100|0.55853551|  PASSED  
          sts_serial|   3|    100000|     100|0.43114888|  PASSED  
          sts_serial|   3|    100000|     100|0.26270536|  PASSED  
          sts_serial|   4|    100000|     100|0.27891766|  PASSED  
          sts_serial|   4|    100000|     100|0.79538513|  PASSED  
          sts_serial|   5|    100000|     100|0.48281307|  PASSED  
          sts_serial|   5|    100000|     100|0.62380081|  PASSED  
          sts_serial|   6|    100000|     100|0.77510269|  PASSED  
          sts_serial|   6|    100000|     100|0.96931174|  PASSED  
          sts_serial|   7|    100000|     100|0.56492274|  PASSED  
          sts_serial|   7|    100000|     100|0.51823313|  PASSED  
          sts_serial|   8|    100000|     100|0.92921045|  PASSED  
          sts_serial|   8|    100000|     100|0.38616234|  PASSED  
          sts_serial|   9|    100000|     100|0.99893103|   WEAK   
          sts_serial|   9|    100000|     100|0.71086544|  PASSED  
          sts_serial|  10|    100000|     100|0.03038267|  PASSED  
          sts_serial|  10|    100000|     100|0.14811587|  PASSED  
          sts_serial|  11|    100000|     100|0.41961954|  PASSED  
          sts_serial|  11|    100000|     100|0.54497223|  PASSED  
          sts_serial|  12|    100000|     100|0.11358952|  PASSED  
          sts_serial|  12|    100000|     100|0.01128219|  PASSED  
          sts_serial|  13|    100000|     100|0.01978458|  PASSED  
          sts_serial|  13|    100000|     100|0.23286159|  PASSED  
          sts_serial|  14|    100000|     100|0.16982487|  PASSED  
          sts_serial|  14|    100000|     100|0.50165881|  PASSED  
          sts_serial|  15|    100000|     100|0.01528133|  PASSED  
          sts_serial|  15|    100000|     100|0.44652746|  PASSED  
          sts_serial|  16|    100000|     100|0.54398970|  PASSED  
          sts_serial|  16|    100000|     100|0.51318915|  PASSED  
