#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
          taus2|  9.92e+07  | 543476024|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.24698961|  PASSED  
          sts_serial|   2|    100000|     100|0.64141753|  PASSED  
          sts_serial|   3|    100000|     100|0.67194925|  PASSED  
          sts_serial|   3|    100000|     100|0.07754052|  PASSED  
          sts_serial|   4|    100000|     100|0.43901438|  PASSED  
          sts_serial|   4|    100000|     100|0.61842735|  PASSED  
          sts_serial|   5|    100000|     100|0.50272101|  PASSED  
          sts_serial|   5|    100000|     100|0.31796572|  PASSED  
          sts_serial|   6|    100000|     100|0.99997674|   WEAK   
          sts_serial|   6|    100000|     100|0.75386722|  PASSED  
          sts_serial|   7|    100000|     100|0.96025941|  PASSED  
          sts_serial|   7|    100000|     100|0.74575126|  PASSED  
          sts_serial|   8|    100000|     100|0.69015027|  PASSED  
          sts_serial|   8|    100000|     100|0.53000937|  PASSED  
          sts_serial|   9|    100000|     100|0.17370631|  PASSED  
          sts_serial|   9|    100000|     100|0.25330074|  PASSED  
          sts_serial|  10|    100000|     100|0.31608914|  PASSED  
          sts_serial|  10|    100000|     100|0.85286827|  PASSED  
          sts_serial|  11|    100000|     100|0.85577596|  PASSED  
          sts_serial|  11|    100000|     100|0.44809327|  PASSED  
          sts_serial|  12|    100000|     100|0.73869757|  PASSED  
          sts_serial|  12|    100000|     100|0.95481742|  PASSED  
          sts_serial|  13|    100000|     100|0.82979128|  PASSED  
          sts_serial|  13|    100000|     100|0.84455669|  PASSED  
          sts_serial|  14|    100000|     100|0.12710923|  PASSED  
          sts_serial|  14|    100000|     100|0.66796138|  PASSED  
          sts_serial|  15|    100000|     100|0.28087121|  PASSED  
          sts_serial|  15|    100000|     100|0.67994120|  PASSED  
          sts_serial|  16|    100000|     100|0.91288025|  PASSED  
          sts_serial|  16|    100000|     100|0.09890091|  PASSED  
