#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
        taus113|  1.08e+08  |3626456851|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.05569344|  PASSED  
          sts_serial|   2|    100000|     100|0.13077168|  PASSED  
          sts_serial|   3|    100000|     100|0.49224777|  PASSED  
          sts_serial|   3|    100000|     100|0.47651836|  PASSED  
          sts_serial|   4|    100000|     100|0.45143601|  PASSED  
          sts_serial|   4|    100000|     100|0.69482664|  PASSED  
          sts_serial|   5|    100000|     100|0.24953179|  PASSED  
          sts_serial|   5|    100000|     100|0.07330705|  PASSED  
          sts_serial|   6|    100000|     100|0.99068298|  PASSED  
          sts_serial|   6|    100000|     100|0.74156284|  PASSED  
          sts_serial|   7|    100000|     100|0.75169644|  PASSED  
          sts_serial|   7|    100000|     100|0.23746130|  PASSED  
          sts_serial|   8|    100000|     100|0.64866607|  PASSED  
          sts_serial|   8|    100000|     100|0.65313453|  PASSED  
          sts_serial|   9|    100000|     100|0.72029958|  PASSED  
          sts_serial|   9|    100000|     100|0.37188120|  PASSED  
          sts_serial|  10|    100000|     100|0.73634268|  PASSED  
          sts_serial|  10|    100000|     100|0.09735785|  PASSED  
          sts_serial|  11|    100000|     100|0.47837714|  PASSED  
          sts_serial|  11|    100000|     100|0.10672429|  PASSED  
          sts_serial|  12|    100000|     100|0.89133911|  PASSED  
          sts_serial|  12|    100000|     100|0.95281766|  PASSED  
          sts_serial|  13|    100000|     100|0.59853271|  PASSED  
          sts_serial|  13|    100000|     100|0.98106912|  PASSED  
          sts_serial|  14|    100000|     100|0.52205256|  PASSED  
          sts_serial|  14|    100000|     100|0.24232148|  PASSED  
          sts_serial|  15|    100000|     100|0.52518364|  PASSED  
          sts_serial|  15|    100000|     100|0.33411802|  PASSED  
          sts_serial|  16|    100000|     100|0.66663868|  PASSED  
          sts_serial|  16|    100000|     100|0.03826811|  PASSED  
