#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
          uni32|  1.43e+08  |  35981395|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.24826118|  PASSED  
          sts_serial|   2|    100000|     100|0.90938731|  PASSED  
          sts_serial|   3|    100000|     100|0.67562488|  PASSED  
          sts_serial|   3|    100000|     100|0.17724975|  PASSED  
          sts_serial|   4|    100000|     100|0.06287132|  PASSED  
          sts_serial|   4|    100000|     100|0.64861988|  PASSED  
          sts_serial|   5|    100000|     100|0.19749222|  PASSED  
          sts_serial|   5|    100000|     100|0.86025931|  PASSED  
          sts_serial|   6|    100000|     100|0.03321782|  PASSED  
          sts_serial|   6|    100000|     100|0.06071531|  PASSED  
          sts_serial|   7|    100000|     100|0.46152973|  PASSED  
          sts_serial|   7|    100000|     100|0.12318847|  PASSED  
          sts_serial|   8|    100000|     100|0.01360788|  PASSED  
          sts_serial|   8|    100000|     100|0.22898581|  PASSED  
          sts_serial|   9|    100000|     100|0.45839715|  PASSED  
          sts_serial|   9|    100000|     100|0.62410729|  PASSED  
          sts_serial|  10|    100000|     100|0.88604823|  PASSED  
          sts_serial|  10|    100000|     100|0.18983561|  PASSED  
          sts_serial|  11|    100000|     100|0.33766704|  PASSED  
          sts_serial|  11|    100000|     100|0.92812811|  PASSED  
          sts_serial|  12|    100000|     100|0.72034554|  PASSED  
          sts_serial|  12|    100000|     100|0.91654809|  PASSED  
          sts_serial|  13|    100000|     100|0.34035983|  PASSED  
          sts_serial|  13|    100000|     100|0.15485453|  PASSED  
          sts_serial|  14|    100000|     100|0.16752781|  PASSED  
          sts_serial|  14|    100000|     100|0.43635389|  PASSED  
          sts_serial|  15|    100000|     100|0.12255322|  PASSED  
          sts_serial|  15|    100000|     100|0.74021330|  PASSED  
          sts_serial|  16|    100000|     100|0.06467324|  PASSED  
          sts_serial|  16|    100000|     100|0.95407375|  PASSED  
