#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
            zuf|  6.97e+07  | 467921034|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.56582304|  PASSED  
          sts_serial|   2|    100000|     100|0.97170128|  PASSED  
          sts_serial|   3|    100000|     100|0.41708897|  PASSED  
          sts_serial|   3|    100000|     100|0.53418055|  PASSED  
          sts_serial|   4|    100000|     100|0.81437687|  PASSED  
          sts_serial|   4|    100000|     100|0.86662871|  PASSED  
          sts_serial|   5|    100000|     100|0.96171555|  PASSED  
          sts_serial|   5|    100000|     100|0.99248177|  PASSED  
          sts_serial|   6|    100000|     100|0.86156043|  PASSED  
          sts_serial|   6|    100000|     100|0.64507123|  PASSED  
          sts_serial|   7|    100000|     100|0.67414510|  PASSED  
          sts_serial|   7|    100000|     100|0.90728424|  PASSED  
          sts_serial|   8|    100000|     100|0.79239937|  PASSED  
          sts_serial|   8|    100000|     100|0.94176640|  PASSED  
          sts_serial|   9|    100000|     100|0.00026026|   WEAK   
          sts_serial|   9|    100000|     100|0.00039764|   WEAK   
          sts_serial|  10|    100000|     100|0.02025159|  PASSED  
          sts_serial|  10|    100000|     100|0.49644607|  PASSED  
          sts_serial|  11|    100000|     100|0.27023820|  PASSED  
          sts_serial|  11|    100000|     100|0.40802796|  PASSED  
          sts_serial|  12|    100000|     100|0.96491521|  PASSED  
          sts_serial|  12|    100000|     100|0.85615312|  PASSED  
          sts_serial|  13|    100000|     100|0.49013970|  PASSED  
          sts_serial|  13|    100000|     100|0.99341249|  PASSED  
          sts_serial|  14|    100000|     100|0.99860769|   WEAK   
          sts_serial|  14|    100000|     100|0.39215788|  PASSED  
          sts_serial|  15|    100000|     100|0.26849454|  PASSED  
          sts_serial|  15|    100000|     100|0.91906504|  PASSED  
          sts_serial|  16|    100000|     100|0.91979375|  PASSED  
          sts_serial|  16|    100000|     100|0.53617911|  PASSED  
