#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
R_wichmann_hill|  2.57e+07  | 390031537|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.82942956|  PASSED  
          sts_serial|   2|    100000|     100|0.47214183|  PASSED  
          sts_serial|   3|    100000|     100|0.93168379|  PASSED  
          sts_serial|   3|    100000|     100|0.60104118|  PASSED  
          sts_serial|   4|    100000|     100|0.84649515|  PASSED  
          sts_serial|   4|    100000|     100|0.94227391|  PASSED  
          sts_serial|   5|    100000|     100|0.59857956|  PASSED  
          sts_serial|   5|    100000|     100|0.56094311|  PASSED  
          sts_serial|   6|    100000|     100|0.65500949|  PASSED  
          sts_serial|   6|    100000|     100|0.97142944|  PASSED  
          sts_serial|   7|    100000|     100|0.26880887|  PASSED  
          sts_serial|   7|    100000|     100|0.45220342|  PASSED  
          sts_serial|   8|    100000|     100|0.00710587|  PASSED  
          sts_serial|   8|    100000|     100|0.02518720|  PASSED  
          sts_serial|   9|    100000|     100|0.31873945|  PASSED  
          sts_serial|   9|    100000|     100|0.39545016|  PASSED  
          sts_serial|  10|    100000|     100|0.84659638|  PASSED  
          sts_serial|  10|    100000|     100|0.21927991|  PASSED  
          sts_serial|  11|    100000|     100|0.29068568|  PASSED  
          sts_serial|  11|    100000|     100|0.77859318|  PASSED  
          sts_serial|  12|    100000|     100|0.47003968|  PASSED  
          sts_serial|  12|    100000|     100|0.40256991|  PASSED  
          sts_serial|  13|    100000|     100|0.82089603|  PASSED  
          sts_serial|  13|    100000|     100|0.83505828|  PASSED  
          sts_serial|  14|    100000|     100|0.22453126|  PASSED  
          sts_serial|  14|    100000|     100|0.26032650|  PASSED  
          sts_serial|  15|    100000|     100|0.41466738|  PASSED  
          sts_serial|  15|    100000|     100|0.43282599|  PASSED  
          sts_serial|  16|    100000|     100|0.82503950|  PASSED  
          sts_serial|  16|    100000|     100|0.25962647|  PASSED  
