#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
R_marsaglia_multic.|  9.29e+07  |2527546932|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.16351889|  PASSED  
          sts_serial|   2|    100000|     100|0.25140375|  PASSED  
          sts_serial|   3|    100000|     100|0.06641357|  PASSED  
          sts_serial|   3|    100000|     100|0.01372618|  PASSED  
          sts_serial|   4|    100000|     100|0.62978685|  PASSED  
          sts_serial|   4|    100000|     100|0.56518554|  PASSED  
          sts_serial|   5|    100000|     100|0.37751355|  PASSED  
          sts_serial|   5|    100000|     100|0.17459991|  PASSED  
          sts_serial|   6|    100000|     100|0.39300780|  PASSED  
          sts_serial|   6|    100000|     100|0.68648953|  PASSED  
          sts_serial|   7|    100000|     100|0.78062522|  PASSED  
          sts_serial|   7|    100000|     100|0.05936850|  PASSED  
          sts_serial|   8|    100000|     100|0.39140788|  PASSED  
          sts_serial|   8|    100000|     100|0.22707761|  PASSED  
          sts_serial|   9|    100000|     100|0.72786234|  PASSED  
          sts_serial|   9|    100000|     100|0.50189854|  PASSED  
          sts_serial|  10|    100000|     100|0.99861290|   WEAK   
          sts_serial|  10|    100000|     100|0.91094809|  PASSED  
          sts_serial|  11|    100000|     100|0.93918548|  PASSED  
          sts_serial|  11|    100000|     100|0.39704066|  PASSED  
          sts_serial|  12|    100000|     100|0.90146212|  PASSED  
          sts_serial|  12|    100000|     100|0.66203977|  PASSED  
          sts_serial|  13|    100000|     100|0.50240626|  PASSED  
          sts_serial|  13|    100000|     100|0.44476352|  PASSED  
          sts_serial|  14|    100000|     100|0.02457446|  PASSED  
          sts_serial|  14|    100000|     100|0.10410257|  PASSED  
          sts_serial|  15|    100000|     100|0.22460382|  PASSED  
          sts_serial|  15|    100000|     100|0.69697772|  PASSED  
          sts_serial|  16|    100000|     100|0.29312471|  PASSED  
          sts_serial|  16|    100000|     100|0.24418174|  PASSED  
