#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
R_marsaglia_multic.|  9.37e+07  | 989342959|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.42056109|  PASSED  
          sts_serial|   2|    100000|     100|0.98559635|  PASSED  
          sts_serial|   3|    100000|     100|0.94588358|  PASSED  
          sts_serial|   3|    100000|     100|0.98824834|  PASSED  
          sts_serial|   4|    100000|     100|0.74667852|  PASSED  
          sts_serial|   4|    100000|     100|0.90343049|  PASSED  
          sts_serial|   5|    100000|     100|0.01701625|  PASSED  
          sts_serial|   5|    100000|     100|0.07112940|  PASSED  
          sts_serial|   6|    100000|     100|0.50240502|  PASSED  
          sts_serial|   6|    100000|     100|0.99178947|  PASSED  
          sts_serial|   7|    100000|     100|0.37508732|  PASSED  
          sts_serial|   7|    100000|     100|0.89602733|  PASSED  
          sts_serial|   8|    100000|     100|0.73182841|  PASSED  
          sts_serial|   8|    100000|     100|0.78773896|  PASSED  
          sts_serial|   9|    100000|     100|0.62446568|  PASSED  
          sts_serial|   9|    100000|     100|0.89600055|  PASSED  
          sts_serial|  10|    100000|     100|0.16236369|  PASSED  
          sts_serial|  10|    100000|     100|0.94570081|  PASSED  
          sts_serial|  11|    100000|     100|0.81157339|  PASSED  
          sts_serial|  11|    100000|     100|0.82374224|  PASSED  
          sts_serial|  12|    100000|     100|0.55661983|  PASSED  
          sts_serial|  12|    100000|     100|0.92766329|  PASSED  
          sts_serial|  13|    100000|     100|0.94146886|  PASSED  
          sts_serial|  13|    100000|     100|0.97574397|  PASSED  
          sts_serial|  14|    100000|     100|0.89879726|  PASSED  
          sts_serial|  14|    100000|     100|0.69055941|  PASSED  
          sts_serial|  15|    100000|     100|0.89802977|  PASSED  
          sts_serial|  15|    100000|     100|0.84986879|  PASSED  
          sts_serial|  16|    100000|     100|0.52040480|  PASSED  
          sts_serial|  16|    100000|     100|0.87468409|  PASSED  
