#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
  R_knuth_taocp|  3.21e+07  | 828870558|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.57918259|  PASSED  
          sts_serial|   2|    100000|     100|0.56830944|  PASSED  
          sts_serial|   3|    100000|     100|0.50768329|  PASSED  
          sts_serial|   3|    100000|     100|0.13283787|  PASSED  
          sts_serial|   4|    100000|     100|0.03499793|  PASSED  
          sts_serial|   4|    100000|     100|0.16726727|  PASSED  
          sts_serial|   5|    100000|     100|0.53927659|  PASSED  
          sts_serial|   5|    100000|     100|0.65510763|  PASSED  
          sts_serial|   6|    100000|     100|0.68521286|  PASSED  
          sts_serial|   6|    100000|     100|0.61920655|  PASSED  
          sts_serial|   7|    100000|     100|0.37807607|  PASSED  
          sts_serial|   7|    100000|     100|0.77003325|  PASSED  
          sts_serial|   8|    100000|     100|0.30975810|  PASSED  
          sts_serial|   8|    100000|     100|0.22806112|  PASSED  
          sts_serial|   9|    100000|     100|0.66507616|  PASSED  
          sts_serial|   9|    100000|     100|0.32953162|  PASSED  
          sts_serial|  10|    100000|     100|0.59193683|  PASSED  
          sts_serial|  10|    100000|     100|0.49661354|  PASSED  
          sts_serial|  11|    100000|     100|0.55615500|  PASSED  
          sts_serial|  11|    100000|     100|0.34084200|  PASSED  
          sts_serial|  12|    100000|     100|0.73127055|  PASSED  
          sts_serial|  12|    100000|     100|0.65759439|  PASSED  
          sts_serial|  13|    100000|     100|0.98787117|  PASSED  
          sts_serial|  13|    100000|     100|0.74731147|  PASSED  
          sts_serial|  14|    100000|     100|0.42677619|  PASSED  
          sts_serial|  14|    100000|     100|0.20219718|  PASSED  
          sts_serial|  15|    100000|     100|0.96618029|  PASSED  
          sts_serial|  15|    100000|     100|0.42027574|  PASSED  
          sts_serial|  16|    100000|     100|0.63794614|  PASSED  
          sts_serial|  16|    100000|     100|0.62523993|  PASSED  
