#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
 R_knuth_taocp2|  3.50e+07  |4183176855|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
          sts_serial|   1|    100000|     100|0.54598270|  PASSED  
          sts_serial|   2|    100000|     100|0.16914622|  PASSED  
          sts_serial|   3|    100000|     100|0.19451935|  PASSED  
          sts_serial|   3|    100000|     100|0.88395277|  PASSED  
          sts_serial|   4|    100000|     100|0.02152075|  PASSED  
          sts_serial|   4|    100000|     100|0.31073372|  PASSED  
          sts_serial|   5|    100000|     100|0.00503333|  PASSED  
          sts_serial|   5|    100000|     100|0.99582282|   WEAK   
          sts_serial|   6|    100000|     100|0.03547635|  PASSED  
          sts_serial|   6|    100000|     100|0.21337061|  PASSED  
          sts_serial|   7|    100000|     100|0.49581553|  PASSED  
          sts_serial|   7|    100000|     100|0.33281232|  PASSED  
          sts_serial|   8|    100000|     100|0.87876542|  PASSED  
          sts_serial|   8|    100000|     100|0.99982159|   WEAK   
          sts_serial|   9|    100000|     100|0.40308620|  PASSED  
          sts_serial|   9|    100000|     100|0.59085849|  PASSED  
          sts_serial|  10|    100000|     100|0.78473212|  PASSED  
          sts_serial|  10|    100000|     100|0.37111567|  PASSED  
          sts_serial|  11|    100000|     100|0.84457774|  PASSED  
          sts_serial|  11|    100000|     100|0.46589602|  PASSED  
          sts_serial|  12|    100000|     100|0.99286937|  PASSED  
          sts_serial|  12|    100000|     100|0.67015365|  PASSED  
          sts_serial|  13|    100000|     100|0.92317100|  PASSED  
          sts_serial|  13|    100000|     100|0.88037846|  PASSED  
          sts_serial|  14|    100000|     100|0.62949232|  PASSED  
          sts_serial|  14|    100000|     100|0.14251448|  PASSED  
          sts_serial|  15|    100000|     100|0.99998951|   WEAK   
          sts_serial|  15|    100000|     100|0.41132136|  PASSED  
          sts_serial|  16|    100000|     100|0.61252249|  PASSED  
          sts_serial|  16|    100000|     100|0.27052290|  PASSED  
